«	PUN:cit	«
intermed	ADJ	intermed
»,	NOM	»,
association	NOM	association
d'	PRP	de
insertion	NOM	insertion
par	PRP	par
l'	DET:ART	le
économique	ADJ	économique
,	PUN	,
développe	VER:pres	développer
les	DET:ART	le
emplois	NOM	emploi
de	PRP	de
services	NOM	service
en	PRP	en
direction	NOM	direction
des	PRP:det	du
familles	NOM	famille
,	PUN	,
tout	ADV	tout
en	PRP	en
permettant	VER:ppre	permettre
à	PRP	à
des	PRP:det	du
personnes	NOM	personne
sans	PRP	sans
emploi	NOM	emploi
de	PRP	de
retrouver	VER:infi	retrouver
une	DET:ART	un
activité	NOM	activité
professionnelle	ADJ	professionnel
:	PUN	:
jardinage	NOM	jardinage
,	PUN	,
repassage	NOM	repassage
,	PUN	,
déneigement	NOM	déneigement
,	PUN	,
bricolage	NOM	bricolage
,	PUN	,
manutention	NOM	manutention
,	PUN	,
courses	NOM	course
,	PUN	,
etc	ABR	etc
.	SENT	.
une	DET:ART	un
permanence	NOM	permanence
a	VER:pres	avoir
lieu	NOM	lieu
chaque	PRO:IND	chaque
3	NUM	@card@
e	ADJ	e
mardi	NOM	mardi
du	PRP:det	du
mois	NOM	moi|mois
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
de	PRP	de
la	DET:ART	le
terrasse	NOM	terrasse
.	SENT	.
la	DET:ART	le
prochaine	ADJ	prochain
est	VER:pres	être
prévue	VER:pper	prévoir
mardi	NOM	mardi
21	NUM	@card@
janvier	NOM	janvier
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
81.54	NUM	@card@
.	SENT	.
79	NUM	@card@
