hier	ADV	hier
,	PUN	,
vers	PRP	vers
18	NUM	@card@
h	ABR	heure
,	PUN	,
le	DET:ART	le
jeune	ADJ	jeune
steve	NOM	steve
lallemand	NOM	lallemand
,	PUN	,
17	NUM	@card@
ans	NOM	an
,	PUN	,
a	VER:pres	avoir
chuté	VER:pper	chuter
de	PRP	de
son	DET:POS	son
cyclomoteur	NOM	cyclomoteur
à	PRP	à
hauteur	NOM	hauteur
de	PRP	de
l'	DET:ART	le
ancienne	ADJ	ancien
maison	NOM	maison
de	PRP	de
la	DET:ART	le
presse	NOM	presse
à	PRP	à
champagney	NOM	champagney
,	PUN	,
sur	PRP	sur
une	DET:ART	un
chaussée	NOM	chaussée
enneigée	ADJ	enneigé
.	SENT	.
la	DET:ART	le
victime	NOM	victime
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
lure	NOM	lure
par	PRP	par
les	DET:ART	le
pompiers	NOM	pompier
locaux	ADJ	local
pour	PRP	pour
y	PRO:PER	y
subir	VER:infi	subir
des	PRP:det	du
examens	NOM	examen
.	SENT	.
