hier	ADV	hier
matin	NOM	matin
,	PUN	,
vers	PRP	vers
7	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
automobiliste	NOM	automobiliste
venant	VER:ppre	venir
de	PRP	de
la	DET:ART	le
direction	NOM	direction
de	PRP	de
méréville	NOM	méréville
a	VER:pres	avoir
dérapé	VER:pper	déraper
sur	PRP	sur
une	DET:ART	un
plaque	NOM	plaque
de	PRP	de
verglas	NOM	verglas
et	KON	et
est	VER:pres	être
venu	VER:pper	venir
emboutir	VER:infi	emboutir
le	DET:ART	le
panneau	NOM	panneau
indicateur	ADJ	indicateur
de	PRP	de
l'	DET:ART	le
entrée	NOM	entrée
de	PRP	de
messein	NOM	messein
.	SENT	.
seuls	NOM	seul
des	PRP:det	du
dégâts	NOM	dégât
matériels	ADJ	matériel
sont	VER:pres	être
à	PRP	à
déplorer	VER:infi	déplorer
:	PUN	:
poteau	NOM	poteau
indicateur	ADJ	indicateur
à	PRP	à
terre	NOM	terre
et	KON	et
avant	PRP	avant
de	PRP	de
l'	DET:ART	le
automobile	NOM	automobile
enfoncé	ADJ	enfoncé
.	SENT	.
