médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
régime	NOM	régime
général	ADJ	général
,	PUN	,
en	PRP	en
cas	NOM	cas
d'	PRP	de
urgence	NOM	urgence
téléphoner	VER:infi	téléphoner
au	PRP:det	au
centre	NOM	centre
15	NUM	@card@
;	PUN	;
régime	NOM	régime
minier	ADJ	minier
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.81	NUM	@card@
.	SENT	.
06	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
après	PRP	après
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.07	NUM	@card@
.	SENT	.
07	NUM	@card@
permanence	NOM	permanence
en	PRP	en
mairie	NOM	mairie
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
gérard	NOM	gérard
saragoni	ADJ	saragoni
(	PUN	(
urbanisme	NOM	urbanisme
,	PUN	,
environnement	NOM	environnement
).	VER:ppre	).
bibliothèque	NOM	bibliothèque
:	PUN	:
ouverte	VER:pper	ouvrir
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
top-loisirs	NOM	top-loisirs
:	PUN	:
reprise	VER:pper	reprendre
à	PRP	à
14	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
madeleine-hastert	NOM	madeleine-hastert
au	PRP:det	au
quartier	NOM	quartier
de	PRP	de
la	DET:ART	le
mourière	NOM	mourière
.	SENT	.
détente	NOM	détente
et	KON	et
loisirs	NOM	loisir
:	PUN	:
reprise	VER:pper	reprendre
à	PRP	à
14	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
grimau	ADJ	grimau
au	PRP:det	au
quartier	NOM	quartier
de	PRP	de
joudreville	NOM	joudreville
.	SENT	.
club	NOM	club
pyramide	NOM	pyramide
:	PUN	:
reprise	VER:pper	reprendre
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
annexe	ADJ	annexe
de	PRP	de
la	DET:ART	le
salle	NOM	salle
grimau	ADJ	grimau
.	SENT	.
bouligny-accueil	NOM	bouligny-accueil
:	PUN	:
reprise	VER:pper	reprendre
à	PRP	à
14	NUM	@card@
h	ABR	heure
au	PRP:det	au
foyer	NOM	foyer
maurice-thorez	ADJ	maurice-thorez
.	SENT	.
maintien	NOM	maintien
en	PRP	en
forme	NOM	forme
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
piscine	NOM	piscine
:	PUN	:
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
,	PUN	,
séance	NOM	séance
d'	PRP	de
aquagym	NOM	aquagym
pour	PRP	pour
les	DET:ART	le
dames	NOM	dame
inscrites	ADJ	inscrit
.	SENT	.
catéchisme	NOM	catéchisme
:	PUN	:
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
scrabble	NOM	scrabble
,	PUN	,
pour	PRP	pour
les	DET:ART	le
cm	NOM	cm
2.	PRP:det	@ord@
asbb	NOM	asbb
football	NOM	football
:	PUN	:
entraînement	NOM	entraînement
au	PRP:det	au
gymnase	NOM	gymnase
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
benjamins	NOM	benjamin
)	PUN	)
et	KON	et
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
seniors	NOM	senior
a	VER:pres	avoir
et	KON	et
b	VER:subi	b
).	VER:pper	).
asjpb	NOM	asjpb
basket	NOM	basket
:	PUN	:
entraînement	NOM	entraînement
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
joudreville	NOM	joudreville
à	PRP	à
19	NUM	@card@
h	ABR	heure
(	PUN	(
seniors	NOM	senior
a	VER:pres	avoir
et	KON	et
b	VER:subi	b
).	VER:pper	).
