hier	ADV	hier
,	PUN	,
dans	PRP	dans
le	DET:ART	le
salon	NOM	salon
d'	PRP	de
honneur	NOM	honneur
de	PRP	de
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
,	PUN	,
hélène	NOM	hélène
size	NOM	size
,	PUN	,
adjointe	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
a	VER:pres	avoir
reçu	VER:pper	recevoir
le	DET:ART	le
consentement	NOM	consentement
mutuel	ADJ	mutuel
de	PRP	de
aziz	NOM	aziz
hallab	NOM	hallab
,	PUN	,
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
,	PUN	,
demeurant	VER:ppre	demeurer
à	PRP	à
alameda	NOM	alameda
de	PRP	de
la	DET:ART	le
sagra	NOM	sagra
(	PUN	(
espagne	NOM	espagne
)	PUN	)
et	KON	et
de	PRP	de
souâd	NOM	souâd
adil	ADJ	adil
,	PUN	,
surveillante	ADJ	surveillant
de	PRP	de
nuit	NOM	nuit
,	PUN	,
demeurant	VER:ppre	demeurer
à	PRP	à
verdun	NOM	verdun
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
