répondant	VER:ppre	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
de	PRP	de
la	DET:ART	le
présidente	NOM	président
,	PUN	,
lucienne	ADJ	lucienne
crivizier	NOM	crivizier
,	PUN	,
une	DET:ART	un
trentaine	NOM	trentaine
de	PRP	de
personnes	NOM	personne
étaient	VER:impf	être
réunies	VER:pper	réunir
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
pour	PRP	pour
la	DET:ART	le
première	NUM	premier
réunion	NOM	réunion
de	PRP	de
détente	NOM	détente
de	PRP	de
l'	DET:ART	le
année	NOM	année
.	SENT	.
l'	DET:ART	le
occasion	NOM	occasion
aussi	ADV	aussi
de	PRP	de
fêter	VER:infi	fêter
l'	DET:ART	le
epiphanie	NOM	epiphanie
.	SENT	.
les	DET:ART	le
aînés	NOM	aîné
ont	VER:pres	avoir
eu	VER:pper	avoir
l'	DET:ART	le
agréable	ADJ	agréable
surprise	VER:pper	surprendre
de	PRP	de
découvrir	VER:infi	découvrir
une	DET:ART	un
salle	NOM	salle
en	PRP	en
cours	NOM	cour|cours
de	PRP	de
rénovation	NOM	rénovation
,	PUN	,
avec	PRP	avec
des	PRP:det	du
murs	NOM	mur
recouverts	VER:pper	recouvrir
de	PRP	de
fibre	NOM	fibre
de	PRP	de
verre	NOM	verre
peints	VER:pper	peindre
en	PRP	en
rose	NOM	rose
très	ADV	très
clair	ADJ	clair
.	SENT	.
des	PRP:det	du
panneaux	NOM	panneau
acoustiques	ADJ	acoustique
ont	VER:pres	avoir
été	VER:pper	être
apposés	VER:pper	apposer
.	SENT	.
ils	PRO:PER	il
sont	VER:pres	être
destinés	VER:pper	destiner
à	PRP	à
insonoriser	VER:infi	insonoriser
la	DET:ART	le
salle	NOM	salle
.	SENT	.
«	PUN:cit	«
d'	PRP	de
autres	ADJ	autre
travaux	NOM	travail
vont	VER:pres	aller
voir	VER:infi	voir
le	DET:ART	le
jour	NOM	jour
»,	ADJ	»,
a	VER:pres	avoir
précisé	VER:pper	préciser
le	DET:ART	le
maire	NOM	maire
jean-marie	NOM	jean-marie
riat	ADJ	riat
.	SENT	.
«	PUN:cit	«
les	DET:ART	le
convecteurs	NOM	convecteur
électriques	ADJ	électrique
usagés	ADJ	usagé
vont	VER:pres	aller
être	VER:infi	être
remplacés	VER:pper	remplacer
par	PRP	par
d'	PRP	de
autres	ADJ	autre
ou	KON	ou
par	PRP	par
des	PRP:det	du
panneaux	NOM	panneau
rayonnants	ADJ	rayonnant
.	SENT	.
une	DET:ART	un
porte	NOM	porte
d'	PRP	de
entrée	NOM	entrée
sur	PRP	sur
la	DET:ART	le
rue	NOM	rue
sera	VER:futu	être
posée	VER:pper	poser
.	SENT	.
les	DET:ART	le
extérieurs	NOM	extérieur
en	PRP	en
bois	NOM	bois
seront	VER:futu	être
habillés	VER:pper	habiller
en	PRP	en
panneaux	NOM	panneau
bois	NOM	bois
pour	PRP	pour
une	DET:ART	un
meilleure	ADJ	meilleur
isolation	NOM	isolation
.	SENT	.
ces	PRO:DEM	ce
travaux	NOM	travail
seront	VER:futu	être
effectués	VER:pper	effectuer
au	PRP:det	au
cours	NOM	cour|cours
du	PRP:det	du
mois	NOM	moi|mois
,	PUN	,
et	KON	et
la	DET:ART	le
pose	NOM	pose
du	PRP:det	du
carrelage	NOM	carrelage
début	NOM	début
févier	NOM	févier
.	SENT	.
»	PUN:cit	»
les	DET:ART	le
bonnes	ADJ	bon
habitudes	NOM	habitude
reprennent	VER:pres	reprendre
vite	ADV	vite
le	DET:ART	le
dessus	NOM	dessus
avec	PRP	avec
parties	NOM	partie
de	PRP	de
belote	NOM	belote
,	PUN	,
scrabble	NOM	scrabble
et	KON	et
triominos	NOM	triominos
...	PUN	...
a	VER:pres	avoir
l'	DET:ART	le
heure	NOM	heure
du	PRP:det	du
goûter	NOM	goûter
,	PUN	,
auquel	PRO:REL	auquel
participaient	VER:impf	participer
le	DET:ART	le
maire	NOM	maire
et	KON	et
la	DET:ART	le
secrétaire	NOM	secrétaire
de	PRP	de
mairie	NOM	mairie
,	PUN	,
quatre	NUM	quatre
dames	NOM	dame
ont	VER:pres	avoir
été	VER:pper	être
sacrées	ADJ	sacré
reines	NOM	reine
du	PRP:det	du
jour	NOM	jour
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
simone	ADJ	simone
toussaint	NOM	toussaint
,	PUN	,
yvette	NOM	yvette
demarque	NOM	demarque
,	PUN	,
monique	ADJ	monique
barthelemy	NOM	barthelemy
et	KON	et
christine	NOM	christine
humblot	ADJ	humblot
.	SENT	.
