venant	VER:ppre	venir
de	PRP	de
vaivre	NOM	vaivre
,	PUN	,
jean-charles	NOM	jean-charles
,	PUN	,
paul	NOM	paul
,	PUN	,
nicolas	VER:simp	nicolas
,	PUN	,
aurélie	NOM	aurélie
,	PUN	,
clara	NOM	clara
,	PUN	,
marine	ADJ	marin
,	PUN	,
laëtitia	NOM	laëtitia
,	PUN	,
sept	NUM	sept
enfants	NOM	enfant
,	PUN	,
ont	VER:pres	avoir
rendu	VER:pper	rendre
visite	NOM	visite
aux	PRP:det	au
personnes	NOM	personne
âgées	ADJ	âgé
de	PRP	de
la	DET:ART	le
résidence	NOM	résidence
d'	PRP	de
automne	NOM	automne
de	PRP	de
port-sur-saône	NOM	port-sur-saône
,	PUN	,
en	PRP	en
compagnie	NOM	compagnie
de	PRP	de
cécile	NOM	cécile
dabonnot	NOM	dabonnot
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
entonné	VER:pper	entonner
quelques	PRO:IND	quelque
airs	NOM	air
,	PUN	,
nouveaux	ADJ	nouveau
et	KON	et
anciens	ADJ	ancien
pour	PRP	pour
le	DET:ART	le
plus	ADV	plus
grand	ADJ	grand
plaisir	NOM	plaisir
de	PRP	de
tous	PRO:IND	tout
.	SENT	.
le	DET:ART	le
temps	NOM	temps
d'	PRP	de
un	DET:ART	un
après-midi	NOM	après-midi
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
apporté	VER:pper	apporter
une	DET:ART	un
note	NOM	note
de	PRP	de
gaieté	NOM	gaieté
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
résidents	NOM	résident
.	SENT	.
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
amis	NOM	ami
de	PRP	de
la	DET:ART	le
résidence	NOM	résidence
organisait	VER:impf	organiser
le	DET:ART	le
repas	NOM	repas
.	SENT	.
