metz	ABR	metz
.	SENT	.
_	ADJ	_
marie-anne	NOM	marie-anne
isler-béguin	NOM	isler-béguin
fera	VER:futu	faire
partie	VER:pper	partir
des	PRP:det	du
33	NUM	@card@
parlementaires	NOM	parlementaire
européens	ADJ	européen
qui	PRO:REL	qui
se	PRO:PER	se
rendront	VER:futu	rendre
en	PRP	en
irak	NOM	irak
du	PRP:det	du
2	NUM	@card@
au	PRP:det	au
6	NUM	@card@
février	NOM	février
prochain	ADJ	prochain
,	PUN	,
a	VER:pres	avoir
annoncé	VER:pper	annoncer
hier	ADV	hier
soir	NOM	soir
,	PUN	,
dans	PRP	dans
un	DET:ART	un
communiqué	NOM	communiqué
,	PUN	,
la	DET:ART	le
députée	VER:pper	députer
européenne	ADJ	européen
des	PRP:det	du
«	PUN:cit	«
verts-alliance	NOM	verts-alliance
libre	ADJ	libre
européenne	ADJ	européen
»	PUN:cit	»
«	PUN:cit	«
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
message	NOM	message
de	PRP	de
pacification	NOM	pacification
et	KON	et
de	PRP	de
dialogue	NOM	dialogue
pluraliste	ADJ	pluraliste
que	KON	que
ces	PRO:DEM	ce
trente-trois	NUM	trente-trois
membres	NOM	membre
du	PRP:det	du
parlement	NOM	parlement
européen	ADJ	européen
s'	PRO:PER	se
attacheront	VER:futu	attacher
à	PRP	à
porter	VER:infi	porter
dans	PRP	dans
la	DET:ART	le
capitale	NOM	capitale
irakienne	ADJ	irakien
et	KON	et
dans	PRP	dans
les	DET:ART	le
provinces	NOM	province
du	PRP:det	du
kurdistan	NOM	kurdistan
et	KON	et
de	PRP	de
bassora	NOM	bassora
.	SENT	.
des	PRP:det	du
échanges	NOM	échange
et	KON	et
des	PRP:det	du
rencontres	NOM	rencontre
s'	PRO:PER	se
y	PRO:PER	y
effectueront	VER:futu	effectuer
avec	PRP	avec
les	DET:ART	le
inspecteurs	NOM	inspecteur
de	PRP	de
l'	DET:ART	le
onu	NOM	onu
et	KON	et
d'	PRP	de
autres	ADJ	autre
organes	NOM	organe
onusiens	ADJ	onusien
(	PUN	(
unicef	NOM	unicef
,	PUN	,
pnud	NOM	pnud
,	PUN	,
hcr	NOM	hcr
),	ADJ	),
avec	PRP	avec
des	PRP:det	du
ong	NOM	ong
(	PUN	(
apn	NOM	apn
,	PUN	,
care	NOM	care
international	ADJ	international
),	ADJ	),
et	KON	et
auprès	ADV	auprès
d'	PRP	de
ambassadeurs	NOM	ambassadeur
de	PRP	de
l'	DET:ART	le
union	NOM	union
européenne	ADJ	européen
»,	ADJ	»,
précise	VER:pres	préciser
le	DET:ART	le
communiqué	NOM	communiqué
.	SENT	.
