chaque	PRO:IND	chaque
mois	NOM	moi|mois
,	PUN	,
le	DET:ART	le
corps	NOM	corps
local	ADJ	local
de	PRP	de
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
la	DET:ART	le
localité	NOM	localité
participe	VER:pres	participer
à	PRP	à
des	PRP:det	du
man	NOM	man
	ADJ	
uvres	NOM	uvres
de	PRP	de
formation	NOM	formation
sur	PRP	sur
les	DET:ART	le
différents	ADJ	différent
programmes	NOM	programme
.	SENT	.
ce	PRO:DEM	ce
dimanche	NOM	dimanche
matin	NOM	matin
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
la	DET:ART	le
man	NOM	man
	ADJ	
uvre	NOM	uvre
était	VER:impf	être
axée	VER:pper	axer
sur	PRP	sur
la	DET:ART	le
formation	NOM	formation
du	PRP:det	du
maintien	NOM	maintien
des	PRP:det	du
acquis	NOM	acquis
et	KON	et
du	PRP:det	du
secourisme	NOM	secourisme
,	PUN	,
principalement	ADV	principalement
la	DET:ART	le
réanimation	NOM	réanimation
et	KON	et
le	DET:ART	le
massage	NOM	massage
cardiaque	ADJ	cardiaque
à	PRP	à
l'	DET:ART	le
aide	NOM	aide
d'	PRP	de
un	DET:ART	un
mannequin	NOM	mannequin
.	SENT	.
les	DET:ART	le
cours	NOM	cour|cours
étaient	VER:impf	être
dispensés	VER:pper	dispenser
par	PRP	par
le	DET:ART	le
lieutenant	NOM	lieutenant
johan	ADJ	johan
franzetti	NOM	franzetti
et	KON	et
du	PRP:det	du
chef	NOM	chef
de	PRP	de
corps	NOM	corps
janick	NOM	janick
fays	NOM	fays
.	SENT	.
actuellement	ADV	actuellement
quatre	NUM	quatre
jeunes	ADJ	jeune
sapeurs-pompiers	NOM	sapeurs-pompiers
olivier	NOM	olivier
leonard	ADJ	leonard
de	PRP	de
gibeaumeix	NOM	gibeaumeix
,	PUN	,
loïc	NOM	loïc
jeanmougin	NOM	jeanmougin
,	PUN	,
noël	NOM	noël
et	KON	et
didier	ADJ	didier
fays	NOM	fays
ont	VER:pres	avoir
intégré	VER:pper	intégrer
le	DET:ART	le
corps	NOM	corps
local	ADJ	local
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
porte	VER:pres	porter
à	PRP	à
treize	NUM	treize
sapeurs-pompiers	NOM	sapeurs-pompiers
l'	DET:ART	le
équipe	NOM	équipe
locale	ADJ	local
.	SENT	.
félicitations	NOM	félicitation
à	PRP	à
ces	PRO:DEM	ce
jeunes	ADJ	jeune
sapeurs	NOM	sapeur
volontaires	ADJ	volontaire
.	SENT	.
