l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
.	SENT	.
geneviève	NOM	geneviève
grégoire	ADJ	grégoire
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.14	NUM	@card@
.	SENT	.
73	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
.	SENT	.
l'	DET:ART	le
espérance	NOM	espérance
64	NUM	@card@
route	NOM	route
nationale	ADJ	national
à	PRP	à
tronville-en-barrois	NOM	tronville-en-barrois
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.80	NUM	@card@
.	SENT	.
50	NUM	@card@
admr	NOM	admr
:	PUN	:
.	SENT	.
permanence	NOM	permanence
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
45	NUM	@card@
2	NUM	@card@
rue	NOM	rue
du	PRP:det	du
finissage	NOM	finissage
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.17	NUM	@card@
.	SENT	.
62	NUM	@card@
mairie	NOM	mairie
:	PUN	:
.	SENT	.
bureaux	NOM	bureau
ouverts	VER:pper	ouvrir
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
permanence	NOM	permanence
des	PRP:det	du
élus	ADJ	élu
jusqu'à	NOM	jusqu'à
19	NUM	@card@
h.	ABR	h.
club	NOM	club
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
:	PUN	:
.	SENT	.
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
bibliothèque	NOM	bibliothèque
:	PUN	:
.	SENT	.
fermée	VER:pper	fermer
aujourd'hui	ADV	aujourd'hui
et	KON	et
demain	ADV	demain
en	PRP	en
raison	NOM	raison
des	PRP:det	du
travaux	NOM	travail
d'	PRP	de
embellissement	NOM	embellissement
du	PRP:det	du
local	NOM	local
.	SENT	.
