chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
le	DET:ART	le
mois	NOM	moi|mois
de	PRP	de
janvier	NOM	janvier
apporte	VER:pres	apporter
la	DET:ART	le
journée	NOM	journée
«	PUN:cit	«
portes	NOM	porte
ouvertes	ADJ	ouvert
»	PUN:cit	»
de	PRP	de
la	DET:ART	le
bibliothèque	NOM	bibliothèque
.	SENT	.
elle	PRO:PER	elle
est	VER:pres	être
fixée	VER:pper	fixer
au	PRP:det	au
samedi	NOM	samedi
26	NUM	@card@
janvier	NOM	janvier
,	PUN	,
le	DET:ART	le
public	NOM	public
pourra	VER:futu	pouvoir
venir	VER:infi	venir
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h.	ABR	h.
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
occasion	NOM	occasion
pour	PRP	pour
les	DET:ART	le
lecteurs	NOM	lecteur
de	PRP	de
renouveler	VER:infi	renouveler
l'	DET:ART	le
abonnement	NOM	abonnement
annuel	ADJ	annuel
,	PUN	,
à	PRP	à
savoir	VER:infi	savoir
8	NUM	@card@
	NOM	
par	PRP	par
famille	NOM	famille
et	KON	et
pour	PRP	pour
les	DET:ART	le
animateurs	NOM	animateur
d'	PRP	de
organiser	VER:infi	organiser
une	DET:ART	un
tombola	NOM	tombola
(	PUN	(
les	DET:ART	le
billets	NOM	billet
à	PRP	à
1,50	NUM	@card@
	NOM	
seront	VER:futu	être
en	PRP	en
vente	NOM	vente
ce	PRO:DEM	ce
jour-là	NOM	jour-là
)	PUN	)
et	KON	et
un	DET:ART	un
concours	NOM	concours
de	PRP	de
dessin	NOM	dessin
sur	PRP	sur
le	DET:ART	le
thème	NOM	thème
«	PUN:cit	«
dessiner	VER:infi	dessiner
la	DET:ART	le
franche-comté	NOM	franche-comté
»	PUN:cit	»
les	DET:ART	le
artistes	NOM	artiste
,	PUN	,
du	PRP:det	du
plus	ADV	plus
petit	ADJ	petit
au	PRP:det	au
plus	ADV	plus
grand	ADJ	grand
,	PUN	,
du	PRP:det	du
plus	ADV	plus
jeune	ADJ	jeune
au	PRP:det	au
plus	ADV	plus
âgé	ADJ	âgé
,	PUN	,
peuvent	VER:pres	pouvoir
se	PRO:PER	se
mettre	VER:infi	mettre
au	PRP:det	au
travail	NOM	travail
dès	PRP	dès
maintenant	ADV	maintenant
,	PUN	,
car	KON	car
ils	PRO:PER	il
doivent	VER:pres	devoir
déposer	VER:infi	déposer
leur	DET:POS	leur
chef	NOM	chef
d'	ADJ	d'
uvre	NOM	uvre
à	PRP	à
la	DET:ART	le
bibliothèque	NOM	bibliothèque
mercredi	NOM	mercredi
22	NUM	@card@
janvier	NOM	janvier
au	PRP:det	au
plus	ADV	plus
tard	ADV	tard
.	SENT	.
