l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
michel	NOM	michel
hentzler	NOM	hentzler
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.73	NUM	@card@
.	SENT	.
13	NUM	@card@
ou	KON	ou
06.73	NUM	@card@
.	SENT	.
42.00	NUM	@card@
.	SENT	.
68	NUM	@card@
;	PUN	;
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
90.73	NUM	@card@
.	SENT	.
80	NUM	@card@
;	PUN	;
michel	NOM	michel
.	SENT	.
hentzler	VER:infi	hentzler
@	ADJ	@
free	NOM	free
.	SENT	.
fr	NOM	fr
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
91.01	NUM	@card@
.	SENT	.
23	NUM	@card@
