secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
la	DET:ART	le
poste	NOM	poste
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
assistante	NOM	assistant
sociale	ADJ	social
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
