ce	PRO:DEM	ce
soir	NOM	soir
(	PUN	(
20	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
limoges	VER:pres	limoger
(	PUN	(
14	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
pau-orthez	VER:pres	pau-orthez
(	PUN	(
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
25	NUM	@card@
pts	NOM	pts
)	PUN	)
nancy	NOM	nancy
(	PUN	(
7	NUM	@card@
e,	ABR	e,
20	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
dijon	NOM	dijon
(	PUN	(
9	NUM	@card@
e,	ABR	e,
19	NUM	@card@
pts	NOM	pts
)	PUN	)
gravelines	NOM	gravelines
(	PUN	(
5	NUM	@card@
e,	ABR	e,
21	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
bourg-en-bresse	NOM	bourg-en-bresse
(	PUN	(
16	NUM	@card@
e,	ABR	e,
16	NUM	@card@
pts	NOM	pts
)	PUN	)
cholet	NOM	cholet
(	PUN	(
3	NUM	@card@
e,	ABR	e,
22	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
hyères-toulon	NOM	hyères-toulon
(	PUN	(
11	NUM	@card@
e,	ABR	e,
18	NUM	@card@
pts	NOM	pts
)	PUN	)
paris	NOM	pari
br	ADJ	br
(	PUN	(
8	NUM	@card@
e,	ABR	e,
19	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
chalon-sur-saône	NOM	chalon-sur-saône
(	PUN	(
13	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
le	DET:ART	le
mans	NOM	man
(	PUN	(
4	NUM	@card@
e,	ABR	e,
22	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
strasbourg	NOM	strasbourg
(	PUN	(
12	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
le	DET:ART	le
havre	NOM	havre
(	PUN	(
6	NUM	@card@
e,	ABR	e,
20	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
vichy	NOM	vichy
(	PUN	(
10	NUM	@card@
e,	ABR	e,
19	NUM	@card@
pts	NOM	pts
)	PUN	)
demain	ADV	demain
(	PUN	(
17	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
villeurbanne	NOM	villeurbanne
(	PUN	(
2	NUM	@card@
e,	ABR	e,
23	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
roanne	NOM	roanne
(	PUN	(
15	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
