hier	ADV	hier
soir	NOM	soir
:	PUN	:
reims	NOM	reims
-	PUN	-
laval	ADJ	laval
:	PUN	:
3	NUM	@card@
-	PUN	-
2	NUM	@card@
ce	PRO:DEM	ce
soir	NOM	soir
(	PUN	(
20	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
lorient	NOM	lorient
(	PUN	(
3	NUM	@card@
e,	ABR	e,
41	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
créteil	NOM	créteil
(	PUN	(
12	NUM	@card@
e,	ABR	e,
28	NUM	@card@
pts	NOM	pts
)	PUN	)
metz	NAM	Metz
(	PUN	(
4	NUM	@card@
e,	ABR	e,
40	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
niort	ADJ	niort
(	PUN	(
7	NUM	@card@
e,	ABR	e,
36	NUM	@card@
pts	NOM	pts
)	PUN	)
grenoble	ADJ	grenoble
(	PUN	(
5	NUM	@card@
e,	ABR	e,
37	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
nancy	NOM	nancy
(	PUN	(
14	NUM	@card@
e,	ABR	e,
27	NUM	@card@
pts	NOM	pts
)	PUN	)
gueugnon	NOM	gueugnon
(	PUN	(
17	NUM	@card@
e,	ABR	e,
24	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
valence	NOM	valence
(	PUN	(
8	NUM	@card@
e,	ABR	e,
32	NUM	@card@
pts	NOM	pts
)	PUN	)
amiens	NOM	amiens
(	PUN	(
9	NUM	@card@
e,	ABR	e,
31	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
caen	NOM	caen
(	PUN	(
16	NUM	@card@
e,	ABR	e,
26	NUM	@card@
pts	NOM	pts
)	PUN	)
clermont	NOM	clermont
(	PUN	(
11	NUM	@card@
e,	ABR	e,
30	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
châteauroux	NOM	châteauroux
(	PUN	(
6	NUM	@card@
e,	ABR	e,
36	NUM	@card@
pts	NOM	pts
)	PUN	)
istres	ADJ	istres
(	PUN	(
20	NUM	@card@
e,	ABR	e,
23	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
wasquehal	NOM	wasquehal
(	PUN	(
15	NUM	@card@
e,	ABR	e,
26	NUM	@card@
pts	NOM	pts
)	PUN	)
demain	ADV	demain
(	PUN	(
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
le	DET:ART	le
mans	NOM	man
(	PUN	(
2	NUM	@card@
e,	ABR	e,
42	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
saint-etienne	ADJ	saint-etienne
(	PUN	(
18	NUM	@card@
e,	ABR	e,
23	NUM	@card@
pts	NOM	pts
)	PUN	)
16	NUM	@card@
h	ABR	heure
:	PUN	:
toulouse	NOM	toulouse
(	PUN	(
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
47	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
beauvais	NOM	beauvais
(	PUN	(
13	NUM	@card@
e,	ABR	e,
28	NUM	@card@
pts	NOM	pts
)	PUN	)
