m.	ABR	m.
daniel	ADJ	daniel
francois-perros	NOM	francois-perros
33	NUM	@card@
bis	NOM	bis
,	PUN	,
rue	NOM	rue
l.	VER:ppre	l.
maury	NOM	maury
55100	NUM	@card@
verdun	NOM	verdun
.	SENT	.
les	DET:ART	le
etats-unis	NOM	etats-unis
et	KON	et
la	DET:ART	le
grande	ADJ	grand
bretagne	NOM	bretagne
rappellent	VER:pres	rappeler
leurs	DET:POS	leur
réservistes	NOM	réserviste
(	PUN	(
er	VER:simp	er
du	PRP:det	du
8	NUM	@card@
/	PUN	/
01	NUM	@card@
)	PUN	)
et	KON	et
envoient	VER:pres	envoyer
leurs	DET:POS	leur
troupes	NOM	troupe
dans	PRP	dans
les	DET:ART	le
«	PUN:cit	«
pays	NOM	pays
alliés	ADJ	allié
»,	ADJ	»,
sur	PRP	sur
le	DET:ART	le
pourtour	NOM	pourtour
de	PRP	de
l'	DET:ART	le
irak	NOM	irak
.	SENT	.
le	DET:ART	le
président	NOM	président
français	ADJ	français
,	PUN	,
dans	PRP	dans
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
aux	PRP:det	au
armées	NOM	armée
aborde	VER:pres	aborder
un	DET:ART	un
éventuel	ADJ	éventuel
soutien	NOM	soutien
à	PRP	à
la	DET:ART	le
coalition	NOM	coalition
eu	VER:pper	avoir
-	PUN	-
gb	NOM	gb
.	SENT	.
il	PRO:PER	il
renforce	VER:pres	renforcer
également	ADV	également
la	DET:ART	le
présence	NOM	présence
de	PRP	de
la	DET:ART	le
marine	NOM	marine
nationale	ADJ	national
dans	PRP	dans
l'	DET:ART	le
océan	NOM	océan
indien	ADJ	indien
.	SENT	.
sur	PRP	sur
le	DET:ART	le
plan	NOM	plan
militaire	ADJ	militaire
français	ADJ	français
,	PUN	,
quelques	PRO:IND	quelque
chiffres	NOM	chiffre
:	PUN	:
le	DET:ART	le
matériel	ADJ	matériel
,	PUN	,
30	NUM	@card@
%	SYM	%
du	PRP:det	du
matériel	ADJ	matériel
est	VER:pres	être
opérationnel	ADJ	opérationnel
,	PUN	,
30	NUM	@card@
%	SYM	%
en	PRP	en
maintenance	NOM	maintenance
,	PUN	,
30	NUM	@card@
%	SYM	%
sur	PRP	sur
lequel	PRO:REL	lequel
on	PRO:PER	on
prélève	VER:pres	prélever
des	PRP:det	du
pièces	NOM	pièce
nécessaires	ADJ	nécessaire
,	PUN	,
matériel	ADJ	matériel
hors	PRP	hors
service	NOM	service
(	PUN	(
reportages	NOM	reportage
tv	NOM	tv
commentaires	NOM	commentaire
chefs	NOM	chef
de	PRP	de
corps	NOM	corps
).	VER:subi	).
les	DET:ART	le
hommes	NOM	homme
:	PUN	:
armée	VER:pper	armer
de	PRP	de
métier	NOM	métier
répartie	VER:pper	répartir
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
:	PUN	:
yougoslavie	NOM	yougoslavie
,	PUN	,
afghanistan	NAM	Afghanistan
,	PUN	,
afrique	ADJ	afrique
,	PUN	,
dom	NOM	dom
et	KON	et
tom	NOM	tom
pour	KON	pour
des	PRP:det	du
opérations	NOM	opération
de	PRP	de
paix	NOM	paix
.	SENT	.
missions	NOM	mission
dangereuses	ADJ	dangereux
confiées	VER:pper	confier
à	PRP	à
des	PRP:det	du
troupes	NOM	troupe
d'	PRP	de
élites	NOM	élite
:	PUN	:
légions	NOM	légion
,	PUN	,
paras	NOM	para
,	PUN	,
coloniale	ADJ	colonial
,	PUN	,
cavalerie	NOM	cavalerie
.	SENT	.
a	VER:pres	avoir
ces	PRO:DEM	ce
missions	NOM	mission
s'	PRO:PER	se
ajoute	VER:pres	ajouter
la	DET:ART	le
mobilisation	NOM	mobilisation
pour	PRP	pour
vigipirate	NOM	vigipirate
.	SENT	.
que	KON	que
reste-t-il	NOM	reste-t-il
dans	PRP	dans
nos	DET:POS	notre
unités	NOM	unité
territoriales	ADJ	territorial
métropolitaines	ADJ	métropolitain
en	PRP	en
hommes	NOM	homme
et	KON	et
matériel	ADJ	matériel
en	PRP	en
état	NOM	état
de	PRP	de
marche	NOM	marche
?	SENT	?
la	DET:ART	le
france	NOM	france
est	VER:pres	être
toujours	ADV	toujours
en	PRP	en
retard	NOM	retard
d'	PRP	de
une	DET:ART	un
guerre	NOM	guerre
.	SENT	.
ne	ADV	ne
peut-on	VER:simp	peut-on
envisager	VER:infi	envisager
de	PRP	de
recréer	VER:infi	recréer
le	DET:ART	le
service	NOM	service
national	ADJ	national
,	PUN	,
de	PRP	de
créer	VER:infi	créer
une	DET:ART	un
garde	NOM	garde
nationale	ADJ	national
pour	PRP	pour
disposer	VER:infi	disposer
d'	PRP	de
un	DET:ART	un
contingent	NOM	contingent
d'	PRP	de
hommes	NOM	homme
prêts	ADJ	prêt
à	PRP	à
toute	PRO:IND	tout
éventualité	NOM	éventualité
.	SENT	.
un	DET:ART	un
nouveau	ADJ	nouveau
conflit	NOM	conflit
en	PRP	en
irak	NOM	irak
peut	VER:pres	pouvoir
avoir	VER:infi	avoir
des	PRP:det	du
débordements	NOM	débordement
imprévisibles	ADJ	imprévisible
et	KON	et
des	PRP:det	du
conséquences	NOM	conséquence
désastreuses	ADJ	désastreux
pour	PRP	pour
la	DET:ART	le
sécurité	NOM	sécurité
intérieure	ADJ	intérieur
,	PUN	,
pour	PRP	pour
la	DET:ART	le
sécurité	NOM	sécurité
du	PRP:det	du
peuple	NOM	peuple
de	PRP	de
france	NOM	france
.	SENT	.
gérer	VER:infi	gérer
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
prévoir	VER:infi	prévoir
...	PUN	...
c'	PRO:DEM	ce
est	VER:pres	être
également	ADV	également
anticiper	VER:infi	anticiper
,	PUN	,
analyser	VER:infi	analyser
,	PUN	,
programmer	VER:infi	programmer
.	SENT	.
le	DET:ART	le
peuple	NOM	peuple
d'	PRP	de
en	PRP	en
bas	ADV	bas
subit	ADJ	subit
.	SENT	.
le	DET:ART	le
peuple	NOM	peuple
d'	PRP	de
en	PRO:PER	en
haut	ADV	haut
dirige	VER:pres	diriger
.	SENT	.
espérons	VER:pres	espérer
que	KON	que
les	DET:ART	le
responsables	ADJ	responsable
prendront	VER:futu	prendre
les	DET:ART	le
bonnes	ADJ	bon
décisions	NOM	décision
pour	PRP	pour
garantir	VER:infi	garantir
la	DET:ART	le
paix	NOM	paix
.	SENT	.
