c'	PRO:DEM	ce
est	VER:pres	être
sous	PRP	sous
la	DET:ART	le
houlette	NOM	houlette
du	PRP:det	du
président	NOM	président
antoine	NOM	antoine
wagner	NOM	wagner
que	KON	que
les	DET:ART	le
membres	NOM	membre
de	PRP	de
la	DET:ART	le
classe	NOM	classe
50	NUM	@card@
ont	VER:pres	avoir
tenu	VER:pper	tenir
vendredi	NOM	vendredi
après-midi	NOM	après-midi
leur	DET:POS	leur
assemblée	NOM	assemblée
générale	ADJ	général
.	SENT	.
l'	DET:ART	le
occasion	NOM	occasion
pour	PRP	pour
tous	PRO:IND	tout
les	DET:ART	le
conscrits	NOM	conscrit
de	PRP	de
se	PRO:PER	se
remémorer	VER:infi	remémorer
les	DET:ART	le
rendez-vous	NOM	rendez-vous
de	PRP	de
l'	DET:ART	le
an	NOM	an
passé	VER:pper	passer
:	PUN	:
la	DET:ART	le
sortie	NOM	sortie
à	PRP	à
la	DET:ART	le
fonderie	NOM	fonderie
de	PRP	de
cloches	NOM	cloche
à	PRP	à
robécourt	NOM	robécourt
le	DET:ART	le
25	NUM	@card@
avril	NOM	avril
,	PUN	,
la	DET:ART	le
journée-pétanque	NOM	journée-pétanque
du	PRP:det	du
6	NUM	@card@
juin	NOM	juin
et	KON	et
le	DET:ART	le
repas	NOM	repas
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
à	PRP	à
la	DET:ART	le
mansarde	NOM	mansarde
à	PRP	à
la	DET:ART	le
côte-olie	NOM	côte-olie
le	DET:ART	le
17	NUM	@card@
novembre	NOM	novembre
.	SENT	.
le	DET:ART	le
programme	NOM	programme
2003	NUM	@card@
devrait	VER:cond	devoir
ressembler	VER:infi	ressembler
comme	ADV	comme
un	DET:ART	un
frère	NOM	frère
à	PRP	à
son	DET:POS	son
prédécesseur	NOM	prédécesseur
.	SENT	.
on	PRO:PER	on
a	VER:pres	avoir
prévu	VER:pper	prévoir
une	DET:ART	un
sortie	NOM	sortie
le	DET:ART	le
15	NUM	@card@
mai	NOM	mai
au	PRP:det	au
parc	NOM	parc
animalier	NOM	animalier
de	PRP	de
rhodes	NOM	rhodes
à	PRP	à
ste-croix	NOM	ste-croix
en	PRP	en
moselle	ADJ	moselle
ou	KON	ou
à	PRP	à
l'	DET:ART	le
éco-musée	NOM	éco-musée
d'	PRP	de
ungersheim	NOM	ungersheim
près	ADV	près
de	PRP	de
cernay	NAM	cernay
(	PUN	(
haut-rhin	NOM	haut-rhin
),	ADJ	),
un	DET:ART	un
repas-pétanque	NOM	repas-pétanque
le	DET:ART	le
5	NUM	@card@
juin	NOM	juin
et	KON	et
le	DET:ART	le
repas	NOM	repas
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
le	DET:ART	le
9	NUM	@card@
novembre	NOM	novembre
.	SENT	.
les	DET:ART	le
30	NUM	@card@
membres	NOM	membre
présents	ADJ	présent
ont	VER:pres	avoir
conclu	VER:pper	conclure
leur	DET:POS	leur
assemblée	NOM	assemblée
générale	ADJ	général
par	PRP	par
la	DET:ART	le
dégustation	NOM	dégustation
de	PRP	de
la	DET:ART	le
galette	NOM	galette
.	SENT	.
