voici	ADV	voici
le	DET:ART	le
planning	NOM	planning
des	PRP:det	du
réunions	NOM	réunion
d'	PRP	de
information	NOM	information
pour	PRP	pour
les	DET:ART	le
exploitants	NOM	exploitant
et	KON	et
chefs	NOM	chef
d'	PRP	de
entreprises	NOM	entreprise
agricoles	ADJ	agricole
:	PUN	:
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
chambre	NOM	chambre
d'	PRP	de
agriculture	NOM	agriculture
,	PUN	,
306	NUM	@card@
rue	NOM	rue
du	PRP:det	du
haut	NOM	haut
des	PRP:det	du
rangs	NOM	rang
«	PUN:cit	«
pont	NOM	pont
»,	ADJ	»,
dommartin-lès-remiremont	VER:futu	dommartin-lès-remiremont
et	KON	et
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
chambre	NOM	chambre
d'	PRP	de
agriculture	NOM	agriculture
,	PUN	,
32	NUM	@card@
rue	NOM	rue
du	PRP:det	du
général	ADJ	général
henrys	NOM	henry
,	PUN	,
neufchâteau	NOM	neufchâteau
;	PUN	;
vendredi	NOM	vendredi
7	NUM	@card@
février	NOM	février
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
mairie	NOM	mairie
de	PRP	de
monthrureux/saône	NOM	monthrureux/saône
;	PUN	;
lundi	NOM	lundi
10	NUM	@card@
février	NOM	février
:	PUN	:
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
coopérative	NOM	coopérative
agricole	ADJ	agricole
,	PUN	,
za	VER:simp	za
hellieule	NOM	hellieule
2	NUM	@card@
rue	NOM	rue
e.	ABR	e.
durkheim	NOM	durkheim
(	PUN	(
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
de	PRP	de
gamm	NOM	gamm
vert	ADJ	vert
coopérative	ADJ	coopératif
),	NOM	),
bruyères	NOM	bruyère
et	KON	et
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
relais	NOM	relais
de	PRP	de
la	DET:ART	le
cité	NOM	cité
(	PUN	(
salle	NOM	salle
grébier	NOM	grébier
),	ADJ	),
rue	NOM	rue
général	ADJ	général
de	PRP	de
gaulle	NOM	gaulle
,	PUN	,
bruyères	NOM	bruyère
;	PUN	;
vendredi	NOM	vendredi
14	NUM	@card@
février	NOM	février
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
maison	NOM	maison
de	PRP	de
la	DET:ART	le
culture	NOM	culture
et	KON	et
des	PRP:det	du
loisirs	NOM	loisir
(	PUN	(
salle	NOM	salle
12	NUM	@card@
),	ABR	),
123	NUM	@card@
rue	NOM	rue
jean	NOM	jean
moulin	NOM	moulin
,	PUN	,
contrexéville	NOM	contrexéville
;	PUN	;
mardi	NOM	mardi
18	NUM	@card@
février	NOM	février
:	PUN	:
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
30	NUM	@card@
place	NOM	place
du	PRP:det	du
5	NUM	@card@
septembre	NOM	septembre
,	PUN	,
rehaincourt	ADJ	rehaincourt
;	PUN	;
mercredi	NOM	mercredi
19	NUM	@card@
février	NOM	février
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
mairie	NOM	mairie
(	PUN	(
grande	ADJ	grand
salle	NOM	salle
),	ADJ	),
32	NUM	@card@
rue	NOM	rue
charles	VER:pres	charles
gérôme	NOM	gérôme
,	PUN	,
dompaire	NOM	dompaire
et	KON	et
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
1	NUM	@card@
place	NOM	place
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
la	DET:ART	le
chapelle-aux-bois	NOM	chapelle-aux-bois
.	SENT	.
