bravant	VER:ppre	braver
un	DET:ART	un
froid	NOM	froid
glacial	ADJ	glacial
,	PUN	,
cet	PRO:DEM	ce
habitant	NOM	habitant
d'	PRP	de
argiésans	NOM	argiésans
s'	PRO:PER	se
était	VER:impf	être
octroyé	VER:pper	octroyer
une	DET:ART	un
petite	ADJ	petit
balade	NOM	balade
digestive	ADJ	digestif
le	DET:ART	le
long	NOM	long
de	PRP	de
la	DET:ART	le
coulée	NOM	coulée
verte	ADJ	vert
,	PUN	,
hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
entre	PRP	entre
froideval	NOM	froideval
et	KON	et
bavilliers	NOM	bavilliers
,	PUN	,
lorsque	KON	lorsque
son	DET:POS	son
attention	NOM	attention
a	VER:pres	avoir
été	VER:pper	être
attirée	VER:pper	attirer
par	PRP	par
un	DET:ART	un
boucan	NOM	boucan
d'	PRP	de
enfer	NOM	enfer
.	SENT	.
trois	NUM	trois
sangliers	NOM	sanglier
-	PUN	-
cinq	NUM	cinq
selon	PRP	selon
d'	PRP	de
autres	ADJ	autre
témoins	NOM	témoin
-	PUN	-
avaient	VER:impf	avoir
tenté	VER:pper	tenter
de	PRP	de
traverser	VER:infi	traverser
le	DET:ART	le
canal	NOM	canal
gelé	VER:pper	geler
et	KON	et
se	PRO:PER	se
débattaient	VER:impf	débattre
dans	PRP	dans
l'	DET:ART	le
eau	NOM	eau
avec	PRP	avec
l'	DET:ART	le
énergie	NOM	énergie
du	PRP:det	du
désespoir	NOM	désespoir
.	SENT	.
la	DET:ART	le
fine	ADJ	fin
couche	NOM	couche
de	PRP	de
glace	NOM	glace
n'	ADV	ne
avait	VER:impf	avoir
pas	ADV	pas
résisté	VER:pper	résister
à	PRP	à
leur	DET:POS	leur
poids	NOM	poids
d'	PRP	de
adulte	NOM	adulte
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
aide	NOM	aide
d'	PRP	de
un	DET:ART	un
bout	NOM	bout
de	PRP	de
bois	NOM	bois
,	PUN	,
le	DET:ART	le
promeneur	NOM	promeneur
d'	PRP	de
argiésans	NOM	argiésans
,	PUN	,
chasseur	NOM	chasseur
de	PRP	de
la	DET:ART	le
première	NUM	premier
heure	NOM	heure
pendant	PRP	pendant
ses	DET:POS	son
loisirs	NOM	loisir
,	PUN	,
s'	PRO:PER	se
y	PRO:PER	y
est	VER:pres	être
pris	VER:pper	prendre
à	PRP	à
plusieurs	PRO:IND	plusieurs
reprises	NOM	reprise
pour	PRP	pour
casser	VER:infi	casser
la	DET:ART	le
glace	NOM	glace
et	KON	et
faciliter	VER:infi	faciliter
le	DET:ART	le
sauvetage	NOM	sauvetage
des	PRP:det	du
trois	NUM	trois
animaux	NOM	animal
.	SENT	.
les	DET:ART	le
pompiers	NOM	pompier
de	PRP	de
belfort	NOM	belfort
sud	ADJ	sud
,	PUN	,
prévenus	VER:pper	prévenir
par	PRP	par
téléphone	NOM	téléphone
portable	ADJ	portable
par	PRP	par
un	DET:ART	un
autre	ADJ	autre
promeneur	NOM	promeneur
,	PUN	,
sont	VER:pres	être
arrivés	VER:pper	arriver
sur	PRP	sur
place	NOM	place
quelques	PRO:IND	quelque
dizaines	NOM	dizaine
de	PRP	de
minutes	NOM	minute
plus	ADV	plus
tard	ADV	tard
.	SENT	.
les	DET:ART	le
sangliers	NOM	sanglier
sont	VER:pres	être
finalement	ADV	finalement
sortis	VER:pper	sortir
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
par	PRP	par
leurs	DET:POS	leur
propres	ADJ	propre
moyens	NOM	moyen
,	PUN	,
avant	PRP	avant
leur	DET:POS	leur
arrivée	NOM	arrivé|arrivée
,	PUN	,
et	KON	et
se	PRO:PER	se
sont	VER:pres	être
engouffrés	VER:pper	engouffrer
dans	PRP	dans
le	DET:ART	le
bois	NOM	bois
de	PRP	de
danjoutin	NOM	danjoutin
.	SENT	.
si	ADV	si
,	PUN	,
à	PRP	à
l'	DET:ART	le
avenir	NOM	avenir
,	PUN	,
ils	PRO:PER	il
croisent	VER:pres	croiser
à	PRP	à
nouveau	ADJ	nouveau
le	DET:ART	le
chemin	NOM	chemin
du	PRP:det	du
chasseur	NOM	chasseur
d'	PRP	de
argiésans	NOM	argiésans
,	PUN	,
la	DET:ART	le
rencontre	NOM	rencontre
sera	VER:futu	être
peut-être	ADV	peut-être
un	DET:ART	un
peu	ADV	peu
moins	ADV	moins
amicale	ADJ	amical
...	PUN	...
