ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
les	DET:ART	le
féminines	ADJ	féminin
de	PRP	de
n	NOM	n
3	NUM	@card@
reçoivent	VER:pres	recevoir
chalon-sur-saône	NOM	chalon-sur-saône
,	PUN	,
une	DET:ART	un
équipe	NOM	équipe
avec	PRP	avec
laquelle	PRO:REL	lequel
elles	PRO:PER	elle
avaient	VER:impf	avoir
partagé	VER:pper	partager
les	DET:ART	le
points	NOM	point
lors	ADV	lors
du	PRP:det	du
match	NOM	match
aller	VER:infi	aller
.	SENT	.
une	DET:ART	un
victoire	NOM	victoire
est	VER:pres	être
impérative	ADJ	impératif
pour	PRP	pour
se	PRO:PER	se
maintenir	VER:infi	maintenir
dans	PRP	dans
le	DET:ART	le
trio	NOM	trio
de	PRP	de
tête	NOM	tête
.	SENT	.
en	PRP	en
lever	VER:infi	lever
de	PRP	de
rideau	NOM	rideau
,	PUN	,
les	DET:ART	le
seniors	NOM	senior
2	NUM	@card@
filles	NOM	fille
,	PUN	,
qui	PRO:REL	qui
peinent	VER:pres	peiner
pour	PRP	pour
trouver	VER:infi	trouver
la	DET:ART	le
bonne	ADJ	bon
carburation	NOM	carburation
en	PRP	en
préfédérale	NOM	préfédérale
,	PUN	,
accueillent	VER:pres	accueillir
fraisans	NOM	fraisans
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
chez	PRP	chez
les	DET:ART	le
jeunes	NOM	jeune
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
garçons	NOM	garçon
de	PRP	de
moins	ADV	moins
de	PRP	de
11	NUM	@card@
ans	NOM	an
rencontrent	VER:pres	rencontrer
,	PUN	,
sous	PRP	sous
forme	NOM	forme
de	PRP	de
tournoi	NOM	tournoi
,	PUN	,
l'	DET:ART	le
esbm	NOM	esbm
(	PUN	(
b	VER:pper	b
)	PUN	)
et	KON	et
rougemont	VER:futu	rougemont
;	PUN	;
alors	ADV	alors
que	KON	que
leurs	DET:POS	leur
aînés	NOM	aîné
,	PUN	,
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
(	PUN	(
b	VER:pper	b
)	PUN	)
en	PRP	en
honneur	NOM	honneur
,	PUN	,
jouent	VER:pres	jouer
contre	PRP	contre
franois	NOM	franois
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
léo-lagrange	NOM	léo-lagrange
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
filles	NOM	fille
de	PRP	de
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
en	PRP	en
excellence	NOM	excellence
affrontent	VER:pres	affronter
grandvillars	NOM	grandvillars
et	KON	et
l'	DET:ART	le
après-midi	NOM	après-midi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
masculins	ADJ	masculin
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
2	NUM	@card@
se	PRO:PER	se
mesurent	VER:pres	mesurer
à	PRP	à
rougemont	VER:futu	rougemont
.	SENT	.
les	DET:ART	le
autres	ADJ	autre
équipes	NOM	équipe
se	PRO:PER	se
déplacent	VER:pres	déplacer
,	PUN	,
en	PRP	en
particulier	ADJ	particulier
les	DET:ART	le
filles	NOM	fille
de	PRP	de
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
qui	PRO:REL	qui
pour	PRP	pour
la	DET:ART	le
première	NUM	premier
phase	NOM	phase
du	PRP:det	du
championnat	NOM	championnat
de	PRP	de
france	NOM	france
vont	VER:pres	aller
dimanche	NOM	dimanche
à	PRP	à
bar-le-duc	NOM	bar-le-duc
.	SENT	.
