«	PUN:cit	«
les	DET:ART	le
progrès	NOM	progrès
faits	VER:pper	faire
par	PRP	par
les	DET:ART	le
enfants	NOM	enfant
sont	VER:pres	être
étonnants	ADJ	étonnant
»,	NOM	»,
a	VER:pres	avoir
indiqué	VER:pper	indiquer
une	DET:ART	un
mère	NOM	mère
de	PRP	de
famille	NOM	famille
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
des	PRP:det	du
4	NUM	@card@
sorties	NOM	sortie
à	PRP	à
la	DET:ART	le
neige	NOM	neige
organisée	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
asced	NOM	asced
.	SENT	.
les	DET:ART	le
séances	NOM	séance
ont	VER:pres	avoir
toutes	PRO:IND	tout
connu	VER:pper	connaître
un	DET:ART	un
indéniable	ADJ	indéniable
succès	NOM	succès
.	SENT	.
confiés	VER:pper	confier
à	PRP	à
des	PRP:det	du
moniteurs	NOM	moniteur
spécialisés	VER:pper	spécialiser
et	KON	et
bien	ADV	bien
encadrés	VER:pper	encadrer
par	PRP	par
les	DET:ART	le
parents	NOM	parent|parents
,	PUN	,
quelques	PRO:IND	quelque
90	NUM	@card@
gamins	NOM	gamin
répartis	VER:pper	répartir
en	PRP	en
8	NUM	@card@
groupes	NOM	groupe
de	PRP	de
niveaux	NOM	niveau
et	KON	et
d'	PRP	de
âge	NOM	âge
ont	VER:pres	avoir
ainsi	ADV	ainsi
appris	VER:pper	apprendre
toutes	PRO:IND	tout
les	DET:ART	le
bases	NOM	base
de	PRP	de
la	DET:ART	le
glisse	NOM	glisse
sur	PRP	sur
les	DET:ART	le
pistes	NOM	piste
du	PRP:det	du
lispach	NOM	lispach
.	SENT	.
de	PRP	de
l'	DET:ART	le
utilisation	NOM	utilisation
du	PRP:det	du
tire-fesses	NOM	tire-fesses
au	PRP:det	au
chasse-neige	NOM	chasse-neige
pour	PRP	pour
maîtriser	VER:infi	maîtriser
en	PRP	en
toute	PRO:IND	tout
sécurité	NOM	sécurité
la	DET:ART	le
vitesse	NOM	vitesse
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
désormais	ADV	désormais
prêts	ADJ	prêt
à	PRP	à
se	PRO:PER	se
faire	VER:infi	faire
plaisir	NOM	plaisir
lors	ADV	lors
d'	PRP	de
agréables	ADJ	agréable
descentes	NOM	descente
.	SENT	.
avec	PRP	avec
fierté	NOM	fierté
ils	PRO:PER	il
sont	VER:pres	être
revenus	VER:pper	revenir
avec	PRP	avec
une	DET:ART	un
belle	ADJ	beau
médaille	NOM	médaille
qui	PRO:REL	qui
leur	PRO:PER	lui
a	VER:pres	avoir
été	VER:pper	être
remise	VER:pper	remettre
en	PRP	en
récompense	NOM	récompense
des	PRP:det	du
efforts	NOM	effort
accomplis	VER:pper	accomplir
.	SENT	.
