m.	ABR	m.
claude	NOM	claude
paquotte	NOM	paquotte
243	NUM	@card@
rue	NOM	rue
du	PRP:det	du
colombier	NOM	colombier
88270	NUM	@card@
lamerey	NOM	lamerey
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
télévision	NOM	télévision
,	PUN	,
dans	PRP	dans
les	DET:ART	le
titres	NOM	titre
ou	KON	ou
les	DET:ART	le
textes	NOM	texte
,	PUN	,
on	PRO:PER	on
ne	ADV	ne
met	VER:pres	mettre
plus	ADV	plus
de	PRP	de
majuscule	NOM	majuscule
aux	PRP:det	au
noms	NOM	nom
propres	ADJ	propre
.	SENT	.
pourquoi	ADV	pourquoi
?	SENT	?
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
,	PUN	,
on	PRO:PER	on
constate	VER:pres	constater
que	KON	que
les	DET:ART	le
personnes	NOM	personne
qui	PRO:REL	qui
s'	PRO:PER	se
expriment	VER:pres	exprimer
à	PRP	à
la	DET:ART	le
radio	NOM	radio
ou	KON	ou
à	PRP	à
la	DET:ART	le
télévision	NOM	télévision
ne	ADV	ne
font	VER:pres	faire
plus	ADV	plus
de	PRP	de
liaisons	NOM	liaison
.	SENT	.
est-ce	ADJ	est-ce
parce	KON	parce
que	KON	que
leur	DET:POS	leur
orthographe	NOM	orthographe
est	VER:pres	être
défaillante	ADJ	défaillant
?	SENT	?
mais	KON	mais
après	KON	après
tout	ADV	tout
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
peut-être	ADV	peut-être
préférable	ADJ	préférable
de	PRP	de
ne	ADV	ne
pas	ADV	pas
faire	VER:infi	faire
de	PRP	de
liaison	NOM	liaison
plutôt	ADV	plutôt
que	KON	que
des	PRP:det	du
liaisons	NOM	liaison
mal-t-à	ADJ	mal-t-à
propos	NOM	propos
!	SENT	!
lorsque	KON	lorsque
j'	PRO:PER	je
étais	VER:impf	être
à	PRP	à
l'	DET:ART	le
école	NOM	école
,	PUN	,
l'	DET:ART	le
enseignant	NOM	enseignant
me	PRO:PER	me
faisait	VER:impf	faire
lire	VER:infi	lire
5,6	NUM	@card@
millions	NOM	million
de	PRP	de
francs	NOM	franc
de	PRP	de
cette	PRO:DEM	ce
façon	NOM	façon
:	PUN	:
cinq	NUM	cinq
millions	NOM	million
six	NUM	six
cent	NUM	cent
mille	NUM	mille
francs	NOM	franc
ou	KON	ou
cinq	NUM	cinq
millions	NOM	million
six	NUM	six
,	PUN	,
et	KON	et
non	ADV	non
cinq	NUM	cinq
virgule	NOM	virgule
six	NUM	six
millions	NOM	million
de	PRP	de
francs	NOM	franc
comme	KON	comme
on	PRO:PER	on
dit	VER:pres	dire
actuellement	ADV	actuellement
.	SENT	.
dans	PRP	dans
une	DET:ART	un
discussion	NOM	discussion
ou	KON	ou
un	DET:ART	un
débat	NOM	débat
sur	PRP	sur
les	DET:ART	le
ondes	NOM	onde
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
foire	NOM	foire
d'	PRP	de
empoigne	NOM	empoigne
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
savoir	VER:infi	savoir
qui	PRO:REL	qui
couvrira	VER:futu	couvrir
l'	DET:ART	le
autre	ADJ	autre
.	SENT	.
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
veut	VER:pres	vouloir
parler	VER:infi	parler
en	PRP	en
même	ADJ	même
temps	NOM	temps
.	SENT	.
résultat	NOM	résultat
,	PUN	,
on	PRO:PER	on
ne	ADV	ne
comprend	VER:pres	comprendre
rien	ADV	rien
à	PRP	à
ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
dit	VER:pper	dire
.	SENT	.
est-ce	ADJ	est-ce
le	DET:ART	le
but	NOM	but
?	SENT	?
il	PRO:PER	il
fut	VER:simp	être
un	DET:ART	un
temps	NOM	temps
où	PRO:REL	où
chacun	PRO:IND	chacun
parlait	VER:impf	parler
après	PRP	après
l'	DET:ART	le
autre	ADJ	autre
.	SENT	.
on	PRO:PER	on
attendait	VER:impf	attendre
par	PRP	par
politesse	NOM	politesse
que	KON	que
la	DET:ART	le
personne	NOM	personne
intervenante	ADJ	intervenant
ait	VER:subp	avoir
fini	VER:pper	finir
sa	DET:POS	son
phrase	NOM	phrase
pour	PRP	pour
parler	VER:infi	parler
à	PRP	à
son	DET:POS	son
tour	NOM	tour
.	SENT	.
lors	ADV	lors
de	PRP	de
certaines	PRO:IND	certain
émissions	NOM	émission
de	PRP	de
télévision	NOM	télévision
,	PUN	,
on	PRO:PER	on
voit	VER:pres	voir
des	PRP:det	du
invités	NOM	invité
qui	PRO:REL	qui
se	PRO:PER	se
permettent	VER:pres	permettre
de	PRP	de
fumer	VER:infi	fumer
alors	ADV	alors
qu'	KON	que
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
du	PRP:det	du
public	NOM	public
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
manque	NOM	manque
de	PRP	de
correction	NOM	correction
vis-à-vis	ADV	vis-à-vis
des	PRP:det	du
autres	ADJ	autre
personnes	NOM	personne
.	SENT	.
que	KON	que
dire	VER:infi	dire
des	PRP:det	du
présentateurs	NOM	présentateur
qui	PRO:REL	qui
parlent	VER:pres	parler
très	ADV	très
vite	ADV	vite
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
très	ADV	très
pénible	ADJ	pénible
à	PRP	à
suivre	VER:infi	suivre
et	KON	et
à	PRP	à
comprendre	VER:infi	comprendre
.	SENT	.
je	PRO:PER	je
pense	VER:pres	penser
qu'	KON	que
ils	PRO:PER	il
font	VER:pres	faire
preuve	NOM	preuve
de	PRP	de
jeunisme	NOM	jeunisme
et	KON	et
prennent	VER:pres	prendre
les	DET:ART	le
