c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
peine	NOM	peine
que	KON	que
les	DET:ART	le
habitants	NOM	habitant
de	PRP	de
vaucouleurs	NOM	vaucouleurs
ont	VER:pres	avoir
appris	VER:pper	apprendre
le	DET:ART	le
décès	NOM	décès
de	PRP	de
suzanne	ADJ	suzanne
lebrun	NOM	lebrun
,	PUN	,
survenu	VER:pper	survenir
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
85	NUM	@card@
ans	NOM	an
.	SENT	.
mme	ADJ	mme
lebrun	NOM	lebrun
s'	PRO:PER	se
est	VER:pres	être
éteinte	VER:pper	éteindre
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
brabois	NOM	brabois
,	PUN	,
où	PRO:REL	où
elle	PRO:PER	elle
avait	VER:impf	avoir
été	VER:pper	être
admise	VER:pper	admettre
après	PRP	après
un	DET:ART	un
grave	ADJ	grave
malaise	NOM	malais|malaise
cardiaque	ADJ	cardiaque
.	SENT	.
suzanne	ADJ	suzanne
aubert	NOM	aubert
avait	VER:impf	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
à	PRP	à
vaucouleurs	NOM	vaucouleurs
,	PUN	,
le	DET:ART	le
10	NUM	@card@
septembre	NOM	septembre
1917	NUM	@card@
le	DET:ART	le
20	NUM	@card@
juillet	NOM	juillet
1946	NUM	@card@
elle	PRO:PER	elle
avait	VER:impf	avoir
épousé	VER:pper	épouser
gabriel	ADJ	gabriel
lebrun	NOM	lebrun
,	PUN	,
un	DET:ART	un
autre	ADJ	autre
enfant	NOM	enfant
de	PRP	de
la	DET:ART	le
cité	NOM	cité
johannique	ADJ	johannique
.	SENT	.
tous	PRO:IND	tout
deux	NUM	deux
ont	VER:pres	avoir
élevé	VER:pper	élever
six	NUM	six
enfants	NOM	enfant
:	PUN	:
andrée	ADJ	andrée
,	PUN	,
daniel	ADJ	daniel
,	PUN	,
nicole	ADJ	nicole
,	PUN	,
monique	ADJ	monique
,	PUN	,
jacky	NOM	jacky
et	KON	et
patricia	NOM	patricia
.	SENT	.
neuf	ADJ	neuf
petits-enfants	NOM	petits-enfants
,	PUN	,
puis	ADV	puis
six	NUM	six
arrière	ADJ	arrière
petits-enfants	NOM	petits-enfants
sont	VER:pres	être
venus	VER:pper	venir
agrandir	VER:infi	agrandir
le	DET:ART	le
cercle	NOM	cercle
de	PRP	de
famille	NOM	famille
.	SENT	.
en	PRP	en
juillet	NOM	juillet
2000	NUM	@card@
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
lebrun	NOM	lebrun
avaient	VER:impf	avoir
été	VER:pper	être
très	ADV	très
marqués	VER:pper	marquer
par	PRP	par
la	DET:ART	le
disparition	NOM	disparition
de	PRP	de
daniel	NOM	daniel
,	PUN	,
emporté	VER:pper	emporter
en	PRP	en
l'	DET:ART	le
espace	NOM	espace
de	PRP	de
six	NUM	six
mois	NOM	moi|mois
par	PRP	par
un	DET:ART	un
mal	NOM	mal
implacable	ADJ	implacable
.	SENT	.
courageuse	ADJ	courageux
,	PUN	,
mme	VER:simp	mme
lebrun	NOM	lebrun
avait	VER:impf	avoir
travaillé	VER:pper	travailler
chez	PRP	chez
berthelot	NOM	berthelot
et	KON	et
chez	PRP	chez
seiligmann	NOM	seiligmann
.	SENT	.
femme	NOM	femme
discrète	ADJ	discret
,	PUN	,
elle	PRO:PER	elle
aimait	VER:impf	aimer
la	DET:ART	le
lecture	NOM	lecture
et	KON	et
se	PRO:PER	se
passionnait	VER:impf	passionner
pour	PRP	pour
l'	DET:ART	le
actualité	NOM	actualité
.	SENT	.
depuis	PRP	depuis
quelques	PRO:IND	quelque
temps	NOM	temps
,	PUN	,
gabriel	ADJ	gabriel
,	PUN	,
son	DET:POS	son
mari	NOM	mari
,	PUN	,
était	VER:impf	être
souffrant	ADJ	souffrant
,	PUN	,
et	KON	et
jusqu'à	NOM	jusqu'à
sa	DET:POS	son
récente	ADJ	récent
hospitalisation	NOM	hospitalisation
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
veillé	VER:pper	veiller
sur	PRP	sur
lui	PRO:PER	lui
avec	PRP	avec
beaucoup	ADV	beaucoup
de	PRP	de
dévouement	NOM	dévouement
.	SENT	.
les	DET:ART	le
obsèques	NOM	obsèques
religieuses	ADJ	religieux
de	PRP	de
suzanne	ADJ	suzanne
lebrun	NOM	lebrun
seront	VER:futu	être
célébrées	VER:pper	célébrer
demain	ADV	demain
mercredi	NOM	mercredi
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
saint-laurent	ADJ	saint-laurent
.	SENT	.
a	VER:pres	avoir
sa	DET:POS	son
famille	NOM	famille
,	PUN	,
l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
présente	VER:pres	présenter
ses	DET:POS	son
sincères	ADJ	sincère
condoléances	NOM	condoléance
.	SENT	.
