«	PUN:cit	«
quelle	PRO:REL	quel
place	VER:pres	placer
pour	PRP	pour
les	DET:ART	le
citoyens	NOM	citoyen
dans	PRP	dans
le	DET:ART	le
développement	NOM	développement
de	PRP	de
l'	DET:ART	le
intercommunalité	NOM	intercommunalité
?	SENT	?
»,	ABR	»,
tel	PRO:DEM	tel
est	VER:pres	être
le	DET:ART	le
thème	NOM	thème
du	PRP:det	du
café	NOM	café
citoyen	NOM	citoyen
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
vendredi	NOM	vendredi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mjc	NOM	mjc
.	SENT	.
avec	PRP	avec
la	DET:ART	le
participation	NOM	participation
d'	PRP	de
alain	NOM	alain
chanard	ADJ	chanard
,	PUN	,
formateur	ADJ	formateur
à	PRP	à
trajectoire	NOM	trajectoire
formation	NOM	formation
et	KON	et
animateur	NOM	animateur
du	PRP:det	du
celavar	NOM	celavar
(	PUN	(
réseau	NOM	réseau
national	ADJ	national
de	PRP	de
structures	NOM	structure
de	PRP	de
développement	NOM	développement
local	ADJ	local
).	ADJ	).
