bureau	NOM	bureau
accueil	NOM	accueil
demandeurs	NOM	demandeur
d'	PRP	de
emploi	NOM	emploi
.	SENT	.
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
rez-de-chaussée	NOM	rez-de-chaussée
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.91	NUM	@card@
.	SENT	.
80	NUM	@card@
permanence	NOM	permanence
des	PRP:det	du
adjoints	NOM	adjoint
.	SENT	.
a	VER:pres	avoir
17	NUM	@card@
h	ABR	heure
,	PUN	,
permanence	NOM	permanence
de	PRP	de
monique	ADJ	monique
mouhat	NOM	mouhat
,	PUN	,
adjointe	VER:pper	adjoindre
au	PRP:det	au
finances	NOM	finance
.	SENT	.
permanence	NOM	permanence
au	PRP:det	au
presbytère	NOM	presbytère
.	SENT	.
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
189	NUM	@card@
rue	NOM	rue
thomson	NOM	thomson
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.02	NUM	@card@
.	SENT	.
62	NUM	@card@
football	NOM	football
.	SENT	.
a	VER:pres	avoir
14	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
stade	NOM	stade
municipal	ADJ	municipal
entraînement	NOM	entraînement
pour	PRP	pour
les	DET:ART	le
débutants	ADJ	débutant
et	KON	et
poussins	NOM	poussin
;	PUN	;
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
benjamins	NOM	benjamin
;	PUN	;
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
13	NUM	@card@
ans	NOM	an
,	PUN	,
entraînement	NOM	entraînement
au	PRP:det	au
gymnase	NOM	gymnase
municipal	ADJ	municipal
.	SENT	.
basket	NOM	basket
.	SENT	.
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
baby-basket	NOM	baby-basket
;	PUN	;
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
benjamin	NOM	benjamin
(	PUN	(
es	VER:pres	être
)	PUN	)
;	PUN	;
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
minimes	ADJ	minime
et	KON	et
cadets	ADJ	cadet
;	PUN	;
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
seniors	NOM	senior
masculins	ADJ	masculin
équipe	NOM	équipe
a	VER:pres	avoir
;	PUN	;
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
seniors	NOM	senior
féminines	ADJ	féminin
.	SENT	.
judo	NOM	judo
.	SENT	.
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
mini-judo	NOM	mini-judo
(-	NOM	(-
6	NUM	@card@
ans	NOM	an
)	PUN	)
;	PUN	;
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
judo	NOM	judo
6	NUM	@card@
-	PUN	-
9	NUM	@card@
ans	NOM	an
;	PUN	;
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
judo	NOM	judo
10	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
;	PUN	;
de	PRP	de
19	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
judo	NOM	judo
cadets	ADJ	cadet
,	PUN	,
juniors	NOM	junior
,	PUN	,
seniors	NOM	senior
hommes	NOM	homme
et	KON	et
femmes	NOM	femme
.	SENT	.
cyclisme	NOM	cyclisme
.	SENT	.
entraînement	NOM	entraînement
rue	NOM	rue
du	PRP:det	du
11	NUM	@card@
-	PUN	-
septembre	NOM	septembre
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
pour	PRP	pour
les	DET:ART	le
4	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
.	SENT	.
tennis	NOM	tennis
.	SENT	.
au	PRP:det	au
gymnase	NOM	gymnase
municipal	ADJ	municipal
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
mini-tennis	NOM	mini-tennis
pour	PRP	pour
les	DET:ART	le
4	NUM	@card@
-	PUN	-
6	NUM	@card@
ans	NOM	an
;	PUN	;
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
initiation	NOM	initiation
pour	PRP	pour
les	DET:ART	le
plus	ADV	plus
de	PRP	de
10	NUM	@card@
ans	NOM	an
;	PUN	;
créneau	NOM	créneau
entraînement	NOM	entraînement
,	PUN	,
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h.	ABR	h.
activités	NOM	activité
mcl	ADJ	mcl
modelage	NOM	modelage
et	KON	et
poterie	NOM	poterie
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
et	KON	et
10	NUM	@card@
h	ABR	heure
à	PRP	à
