m.	ABR	m.
andré	ADJ	andré
chatelain	NOM	chatelain
42	NUM	@card@
rue	NOM	rue
du	PRP:det	du
val	NOM	val
de	PRP	de
fer	NOM	fer
54230	NUM	@card@
neuves-maisons	NOM	neuves-maisons
.	SENT	.
l'	DET:ART	le
actualité	NOM	actualité
a	VER:pres	avoir
récemment	ADV	récemment
fait	VER:pres	faire
ressurgir	VER:infi	ressurgir
ce	PRO:DEM	ce
sujet	NOM	sujet
d'	PRP	de
importance	NOM	importance
humanitaire	ADJ	humanitaire
qu'	PRO:REL	que
est	VER:pres	être
l'	DET:ART	le
euthanasie	NOM	euthanasie
.	SENT	.
nombre	NOM	nombre
de	PRP	de
témoignages	NOM	témoignage
bouleversants	ADJ	bouleversant
existent	VER:pres	exister
de	PRP	de
malades	NOM	malade
atteints	VER:pper	atteindre
d'	PRP	de
une	DET:ART	un
maladie	NOM	maladie
incurable	ADJ	incurable
ou	KON	ou
de	PRP	de
destructions	NOM	destruction
physiques	ADJ	physique
irréversibles	ADJ	irréversible
qui	PRO:REL	qui
supplient	VER:pres	supplier
qu'	ADV	qu'
on	PRO:PER	on
les	PRO:PER	la|le
laisse	VER:pres	laisser
mourir	VER:infi	mourir
,	PUN	,
soutenus	VER:pper	soutenir
pour	PRP	pour
cela	PRO:DEM	cela
par	PRP	par
leurs	DET:POS	leur
proches	NOM	proche
.	SENT	.
mais	KON	mais
on	PRO:PER	on
le	PRO:PER	le
constate	VER:pres	constater
,	PUN	,
les	DET:ART	le
contradictions	NOM	contradiction
sont	VER:pres	être
grandes	ADJ	grand
et	KON	et
l'	PRO:PER	la|le
on	PRO:PER	on
comprend	VER:pres	comprendre
que	KON	que
dans	PRP	dans
ce	PRO:DEM	ce
contexte	NOM	contexte
«	PUN:cit	«
le	DET:ART	le
droit	NOM	droit
de	PRP	de
mourir	VER:infi	mourir
»	PUN:cit	»
soit	KON	soit
un	DET:ART	un
véritable	ADJ	véritable
fait	NOM	fait
social	ADJ	social
(...).	VER:pper	(...).
en	PRP	en
vérité	NOM	vérité
,	PUN	,
l'	DET:ART	le
euthanasie	NOM	euthanasie
est	VER:pres	être
loin	ADV	loin
de	PRP	de
ne	ADV	ne
concerner	VER:infi	concerner
que	KON	que
le	DET:ART	le
corps	NOM	corps
médical	ADJ	médical
et	KON	et
la	DET:ART	le
justice	NOM	justice
.	SENT	.
il	PRO:PER	il
appartient	VER:pres	appartenir
à	PRP	à
la	DET:ART	le
société	NOM	société
toute	ADV	toute
entière	ADJ	entier
de	PRP	de
décider	VER:infi	décider
ce	PRO:DEM	ce
qu'	PRO:REL	que
elle	PRO:PER	elle
considère	VER:pres	considérer
comme	ADV	comme
acceptable	ADJ	acceptable
pour	PRP	pour
assurer	VER:infi	assurer
à	PRP	à
tout	PRO:IND	tout
malade	NOM	malade
condamné	VER:pper	condamner
par	PRP	par
la	DET:ART	le
médecine	NOM	médecine
la	DET:ART	le
possibilité	NOM	possibilité
de	PRP	de
finir	VER:infi	finir
sa	DET:POS	son
vie	NOM	vie
sans	PRP	sans
souffrances	NOM	souffrance
inutiles	ADJ	inutile
,	PUN	,
et	KON	et
d'	PRP	de
éviter	VER:infi	éviter
les	DET:ART	le
poursuites	NOM	poursuite
à	PRP	à
ceux	PRO:DEM	celui
qui	PRO:REL	qui
ont	VER:pres	avoir
demandé	VER:pper	demander
d'	PRP	de
interrompre	VER:infi	interrompre
les	DET:ART	le
vaines	ADJ	vain
tentatives	NOM	tentative
médicales	ADJ	médical
de	PRP	de
survie	NOM	survie
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
en	PRP	en
effet	NOM	effet
,	PUN	,
beaucoup	ADV	beaucoup
de	PRP	de
courage	NOM	courage
et	KON	et
de	PRP	de
dévouement	NOM	dévouement
