«	PUN:cit	«
le	DET:ART	le
maire	NOM	maire
rappelle	VER:pres	rappeler
aux	PRP:det	au
concitoyens	NOM	concitoyen
qu'	KON	que
en	PRP	en
cas	NOM	cas
de	PRP	de
neige	NOM	neige
et	KON	et
de	PRP	de
verglas	NOM	verglas
,	PUN	,
si	KON	si
le	DET:ART	le
nettoiement	NOM	nettoiement
et	KON	et
le	DET:ART	le
salage	NOM	salage
ou	KON	ou
sablage	NOM	sablage
des	PRP:det	du
rues	NOM	rue
,	PUN	,
des	PRP:det	du
places	NOM	place
et	KON	et
autres	ADJ	autre
voies	NOM	voie
publiques	ADJ	publique
,	PUN	,
incombent	VER:pres	incombent
à	PRP	à
la	DET:ART	le
commune	NOM	commune
,	PUN	,
les	DET:ART	le
administrés	NOM	administré
doivent	VER:pres	devoir
,	PUN	,
procéder	VER:infi	procéder
au	PRP:det	au
balayage	NOM	balayage
et	KON	et
salage	NOM	salage
ou	KON	ou
sablage	NOM	sablage
des	PRP:det	du
banquettes	NOM	banquette
et	KON	et
des	PRP:det	du
trottoirs	NOM	trottoir
tout	ADV	tout
le	DET:ART	le
long	NOM	long
de	PRP	de
leur	DET:POS	leur
propriété	NOM	propriété
.	SENT	.
la	DET:ART	le
mise	NOM	mise
en	PRP	en
tas	NOM	tas
des	PRP:det	du
produits	NOM	produit
de	PRP	de
ce	PRO:DEM	ce
balayage	NOM	balayage
doit	VER:pres	devoir
se	PRO:PER	se
faire	VER:infi	faire
le	DET:ART	le
long	NOM	long
du	PRP:det	du
mur	NOM	mur
de	PRP	de
la	DET:ART	le
propriété	NOM	propriété
ou	KON	ou
de	PRP	de
la	DET:ART	le
clôture	NOM	clôture
et	KON	et
ne	ADV	ne
doit	VER:pres	devoir
en	PRP	en
aucun	PRO:IND	aucun
cas	NOM	cas
nuire	VER:infi	nuire
à	PRP	à
la	DET:ART	le
circulation	NOM	circulation
(	PUN	(
pas	ADV	pas
de	PRP	de
tas	NOM	tas
sur	PRP	sur
la	DET:ART	le
chaussée	NOM	chaussée
),	ADJ	),
ni	KON	ni
à	PRP	à
l'	DET:ART	le
écoulement	NOM	écoulement
des	PRP:det	du
eaux	NOM	eau
au	PRP:det	au
niveau	NOM	niveau
des	PRP:det	du
bouches	NOM	bouche
d'	PRP	de
égouts	NOM	égout
et	KON	et
des	PRP:det	du
caniveaux	NOM	caniveau
(	PUN	(
pas	ADV	pas
de	PRP	de
tas	NOM	tas
dans	PRP	dans
les	DET:ART	le
caniveaux	NOM	caniveau
).	ADJ	).
