l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
.	SENT	.
geneviève	NOM	geneviève
grégoire	ADJ	grégoire
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.14	NUM	@card@
.	SENT	.
73	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
.	SENT	.
sidot	NOM	sidot
et	KON	et
minster	NOM	minster
,	PUN	,
25	NUM	@card@
rue	NOM	rue
du	PRP:det	du
général-de-gaulle	NOM	général-de-gaulle
,	PUN	,
à	PRP	à
ligny	NAM	ligny
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.40	NUM	@card@
.	SENT	.
11	NUM	@card@
admr	NOM	admr
:	PUN	:
.	SENT	.
permanence	NOM	permanence
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
45	NUM	@card@
2	NUM	@card@
rue	NOM	rue
du	PRP:det	du
finissage	NOM	finissage
.	SENT	.
bibliothèque	NOM	bibliothèque
:	PUN	:
.	SENT	.
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
bâtiment	NOM	bâtiment
de	PRP	de
l'	DET:ART	le
asrst	NOM	asrst
,	PUN	,
4	NUM	@card@
rue	NOM	rue
du	PRP:det	du
finissage	NOM	finissage
.	SENT	.
mairie	NOM	mairie
:	PUN	:
.	SENT	.
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
