si	KON	si
dans	PRP	dans
les	DET:ART	le
jeunes	ADJ	jeune
catégories	NOM	catégorie
les	DET:ART	le
sochaliens	NOM	sochaliens
se	PRO:PER	se
sont	VER:pres	être
montrés	VER:pper	montrer
supérieurs	ADJ	supérieur
aux	PRP:det	au
autres	ADJ	autre
équipes	NOM	équipe
,	PUN	,
en	PRP	en
ce	PRO:DEM	ce
qui	PRO:REL	qui
concerne	VER:pres	concerner
les	DET:ART	le
13	NUM	@card@
ans	NOM	an
à	PRP	à
vétérans	NOM	vétéran
,	PUN	,
les	DET:ART	le
classements	NOM	classement
étaient	VER:impf	être
plus	ADV	plus
ouverts	VER:pper	ouvrir
.	SENT	.
quoiqu'il	NOM	quoiqu'il
en	PRO:PER	en
soit	VER:subp	être
ce	PRO:DEM	ce
8	NUM	@card@
e	NOM	e
tournoi	NOM	tournoi
des	PRP:det	du
princes	NOM	prince
a	VER:pres	avoir
une	DET:ART	un
nouvelle	ADJ	nouveau
fois	NOM	foi|fois
permis	VER:pper	permettre
à	PRP	à
certaines	PRO:IND	certain
équipes	NOM	équipe
de	PRP	de
se	PRO:PER	se
mettre	VER:infi	mettre
,	PUN	,
à	PRP	à
défaut	NOM	défaut
de	PRP	de
victoire	NOM	victoire
,	PUN	,
en	PRP	en
évidence	NOM	évidence
...	PUN	...
-	PUN	-
débutants	ADJ	débutant
:	PUN	:
1	NUM	@card@
fcsm	NOM	fcsm
,	PUN	,
2	NUM	@card@
forges	NOM	forge
audincourt	ADJ	audincourt
,	PUN	,
3	NUM	@card@
fesches-le-chatel	ADJ	fesches-le-chatel
,	PUN	,
4	NUM	@card@
champagney	NOM	champagney
,	PUN	,
5	NUM	@card@
montbéliard	NOM	montbéliard
...	PUN	...
(	PUN	(
8	NUM	@card@
équipes	NOM	équipe
classées	VER:pper	classer
).	ADJ	).
-	PUN	-
poussins	NOM	poussin
:	PUN	:
1	NUM	@card@
fcsm	NOM	fcsm
,	PUN	,
2	NUM	@card@
asmb	NOM	asmb
,	PUN	,
3	NUM	@card@
montbéliard	NOM	montbéliard
,	PUN	,
4	NUM	@card@
fesches-le-chatel	ADJ	fesches-le-chatel
,	PUN	,
5	NUM	@card@
champagney	NOM	champagney
...	PUN	...
(	PUN	(
8	NUM	@card@
équipes	NOM	équipe
classées	VER:pper	classer
).	ADJ	).
-	PUN	-
benjamins	NOM	benjamin
:	PUN	:
1	NUM	@card@
fcsm	NOM	fcsm
,	PUN	,
2	NUM	@card@
fc	NOM	fc
mulhouse	ADJ	mulhouse
,	PUN	,
3	NUM	@card@
montbéliard	NOM	montbéliard
,	PUN	,
4	NUM	@card@
sous-roches	NOM	sous-roches
,	PUN	,
5	NUM	@card@
faverney	NOM	faverney
...	PUN	...
(	PUN	(
14	NUM	@card@
équipes	NOM	équipe
classées	VER:pper	classer
).	ADJ	).
-	PUN	-
13	NUM	@card@
ans	NOM	an
:	PUN	:
1	NUM	@card@
us	NOM	us
sochaux	ADJ	sochaux
,	PUN	,
2	NUM	@card@
valentigney	NOM	valentigney
,	PUN	,
3	NUM	@card@
bart	NOM	bart
,	PUN	,
4	NUM	@card@
faverney	NOM	faverney
,	PUN	,
5	NUM	@card@
sous-roches	NOM	sous-roches
...	PUN	...
(	PUN	(
14	NUM	@card@
équipes	NOM	équipe
classées	VER:pper	classer
).	ADJ	).
-	PUN	-
15	NUM	@card@
ans	NOM	an
:	PUN	:
1	NUM	@card@
bart	NOM	bart
,	PUN	,
2	NUM	@card@
sous-roches	NOM	sous-roches
,	PUN	,
3	NUM	@card@
us	NOM	us
sochaux	ADJ	sochaux
,	PUN	,
4	NUM	@card@
psb	NOM	psb
,	PUN	,
5	NUM	@card@
forges	NOM	forge
audincourt	ADJ	audincourt
...	PUN	...
(	PUN	(
14	NUM	@card@
équipes	NOM	équipe
classées	VER:pper	classer
).	ADJ	).
-	PUN	-
seniors	NOM	senior
:	PUN	:
1	NUM	@card@
tagdorf	NOM	tagdorf
,	PUN	,
2	NUM	@card@
portugais	ADJ	portugais
montbéliard	NOM	montbéliard
,	PUN	,
3	NUM	@card@
bavans	ADJ	bavans
,	PUN	,
4	NUM	@card@
courcelles	NOM	courcelles
,	PUN	,
5	NUM	@card@
montbéliard	NOM	montbéliard
...	PUN	...
(	PUN	(
14	NUM	@card@
équipes	NOM	équipe
classées	VER:pper	classer
).	ADJ	).
-	PUN	-
vétérans	NOM	vétéran
:	PUN	:
1	NUM	@card@
bavans	ADJ	bavans
,	PUN	,
2	NUM	@card@
essert	NOM	essert
,	PUN	,
3	NUM	@card@
alenjoie	NOM	alenjoie
,	PUN	,
4	NUM	@card@
courcelles	NOM	courcelles
,	PUN	,
5	NUM	@card@
ajoie-suisse	NOM	ajoie-suisse
...	PUN	...
(	PUN	(
14	NUM	@card@
équipes	NOM	équipe
classées	VER:pper	classer
).	ADJ	).
