«	PUN:cit	«
cherchez	VER:pres	chercher
l'	DET:ART	le
intrus	ADJ	intrus
»,	NOM	»,
le	DET:ART	le
jeu	NOM	jeu
organisé	VER:pper	organiser
par	PRP	par
les	DET:ART	le
commerçants	NOM	commerçant
,	PUN	,
a	VER:pres	avoir
connu	VER:pper	connaître
un	DET:ART	un
très	ADV	très
vif	ADJ	vif
succès	NOM	succès
auprès	ADV	auprès
de	PRP	de
la	DET:ART	le
population	NOM	population
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agissait	VER:impf	agir
en	PRP	en
effet	NOM	effet
de	PRP	de
trouver	VER:infi	trouver
les	DET:ART	le
objets	NOM	objet
intrus	ADJ	intrus
exposés	VER:pper	exposer
dans	PRP	dans
la	DET:ART	le
vitrine	NOM	vitrine
de	PRP	de
27	NUM	@card@
commerces	NOM	commerce
locaux	ADJ	local
et	KON	et
de	PRP	de
les	DET:ART	le
reporter	NOM	reporter
sur	PRP	sur
un	DET:ART	un
bulletin	NOM	bulletin
réponse	NOM	réponse
.	SENT	.
un	DET:ART	un
jeu	NOM	jeu
facile	ADJ	facile
.	SENT	.
de	PRP	de
nombreuses	ADJ	nombreux
bonnes	ADJ	bon
réponses	NOM	réponse
ont	VER:pres	avoir
donc	ADV	donc
obligé	VER:pper	obliger
les	DET:ART	le
commerçants	NOM	commerçant
à	PRP	à
procéder	VER:infi	procéder
à	PRP	à
un	DET:ART	un
tirage	NOM	tirage
au	PRP:det	au
sort	NOM	sort
pour	PRP	pour
désigner	VER:infi	désigner
les	DET:ART	le
gagnants	NOM	gagnant
de	PRP	de
chacun	PRO:IND	chacun
trois	NUM	trois
places	NOM	place
de	PRP	de
cinéma	NOM	cinéma
ugc	NOM	ugc
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
:	PUN	:
pour	PRP	pour
champigneulles	NOM	champigneulles
,	PUN	,
chloé	NOM	chloé
bauer	NOM	bauer
,	PUN	,
rue	NOM	rue
des	PRP:det	du
bateliers	NOM	batelier
,	PUN	,
dominique	ADJ	dominique
biolli	NOM	biolli
,	PUN	,
7	NUM	@card@
rue	NOM	rue
mozart	NOM	mozart
,	PUN	,
jean-marie	NOM	jean-marie
ehrenfeld	NOM	ehrenfeld
,	PUN	,
résidence	NOM	résidence
azur	NOM	azur
,	PUN	,
florian	NOM	florian
gigleux	ADJ	gigleux
,	PUN	,
20	NUM	@card@
rue	NOM	rue
anatole-france	NOM	anatole-france
,	PUN	,
paul	NOM	paul
guérin	ADJ	guérin
,	PUN	,
25	NUM	@card@
rue	NOM	rue
louis-bousval	ADJ	louis-bousval
,	PUN	,
isabelle	ADJ	isabelle
lang	NOM	lang
,	PUN	,
6	NUM	@card@
rue	NOM	rue
des	PRP:det	du
bateliers	NOM	batelier
,	PUN	,
stéphane	ADJ	stéphane
muller	NOM	muller
,	PUN	,
résidence	NOM	résidence
azur	NOM	azur
,	PUN	,
vincent	VER:pres	vincent
muller	NOM	muller
,	PUN	,
rue	NOM	rue
de	PRP	de
la	DET:ART	le
forêt	NOM	forêt
,	PUN	,
