m.	ABR	m.
georges	NOM	georges
perrin	NOM	perrin
50	NUM	@card@
résidence	NOM	résidence
saint-antoine	NOM	saint-antoine
54670	NUM	@card@
custines	NOM	custines
.	SENT	.
jacques	NOM	jacque|jacques
chirac	NOM	chirac
comme	KON	comme
jean-pierre	NOM	jean-pierre
raffarin	ADJ	raffarin
ne	ADV	ne
manquent	VER:pres	manquer
jamais	ADV	jamais
une	DET:ART	un
occasion	NOM	occasion
de	PRP	de
proclamer	VER:infi	proclamer
qu'	KON	que
ils	PRO:PER	il
sont	VER:pres	être
très	ADV	très
favorables	ADJ	favorable
à	PRP	à
la	DET:ART	le
consultation	NOM	consultation
,	PUN	,
par	PRP	par
référendum	NOM	référendum
,	PUN	,
des	PRP:det	du
citoyens	NOM	citoyen
sur	PRP	sur
les	DET:ART	le
questions	NOM	question
importantes	ADJ	important
de	PRP	de
société	NOM	société
.	SENT	.
ils	PRO:PER	il
prétendent	VER:pres	prétendre
être	VER:infi	être
ainsi	ADV	ainsi
de	PRP	de
grands	ADJ	grand
démocrates	NOM	démocrate
.	SENT	.
or	NOM	or
,	PUN	,
depuis	PRP	depuis
le	DET:ART	le
référendum	NOM	référendum
risqué	VER:pper	risquer
sur	PRP	sur
le	DET:ART	le
traité	NOM	traité
de	PRP	de
maastricht	NAM	Maastricht
,	PUN	,
les	DET:ART	le
français	ADJ	français
n'	ADV	ne
ont	VER:pres	avoir
plus	ADV	plus
été	VER:pper	être
consultés	VER:pper	consulter
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
dû	VER:pper	devoir
accepter	VER:infi	accepter
le	DET:ART	le
traité	NOM	traité
d'	PRP	de
amsterdam	NOM	amsterdam
,	PUN	,
l'	DET:ART	le
euro	NAM	euro
,	PUN	,
l'	DET:ART	le
élargissement	NOM	élargissement
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
européenne	ADJ	européen
.	SENT	.
ils	PRO:PER	il
devront	VER:futu	devoir
sans	PRP	sans
doute	NOM	doute
subir	VER:infi	subir
,	PUN	,
sans	PRP	sans
broncher	VER:infi	broncher
,	PUN	,
l'	DET:ART	le
adhésion	NOM	adhésion
de	PRP	de
la	DET:ART	le
turquie	NOM	turquie
le	DET:ART	le
moment	NOM	moment
venu	ADJ	venu
.	SENT	.
plus	ADV	plus
récemment	ADV	récemment
,	PUN	,
jacques	NOM	jacque|jacques
chirac	NOM	chirac
a	VER:pres	avoir
dit	VER:pper	dire
,	PUN	,
au	PRP:det	au
sujet	NOM	sujet
de	PRP	de
la	DET:ART	le
décentralisation	NOM	décentralisation
:	PUN	:
«	PUN:cit	«
les	DET:ART	le
français	ADJ	français
seront	VER:futu	être
consultés	VER:pper	consulter
par	PRP	par
référendum	NOM	référendum
»	PUN:cit	»
on	PRO:PER	on
apprend	VER:pres	apprendre
maintenant	ADV	maintenant
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
est	VER:pres	être
plus	ADV	plus
question	NOM	question
.	SENT	.
un	DET:ART	un
congrès	NOM	congrès
réuni	VER:pper	réunir
à	PRP	à
versailles	NOM	versailles
suffira	VER:futu	suffire
pour	PRP	pour
modifier	VER:infi	modifier
le	DET:ART	le
texte	NOM	texte
de	PRP	de
la	DET:ART	le
constitution	NOM	constitution
.	SENT	.
de	PRP	de
toute	PRO:IND	tout
évidence	NOM	évidence
,	PUN	,
ces	PRO:DEM	ce
politiciens	NOM	politicien
évitent	VER:pres	éviter
le	DET:ART	le
référendum	NOM	référendum
car	KON	car
ils	PRO:PER	il
en	PRO:PER	en
connaissent	VER:pres	connaître
bien	ADV	bien
le	DET:ART	le
résultat	NOM	résultat
négatif	ADJ	négatif
.	SENT	.
le	DET:ART	le
citoyen	NOM	citoyen
se	PRO:PER	se
rend	VER:pres	rendre
compte	NOM	compte
que	KON	que
cette	PRO:DEM	ce
structure	NOM	structure
,	PUN	,
venant	VER:ppre	venir
s'	KON	si
ajouter	VER:infi	ajouter
aux	PRP:det	au
nombreuses	ADJ	nombreux
autres	ADJ	autre
,	PUN	,
lui	PRO:PER	lui
coûtera	VER:futu	coûter
cher	ADV	cher
et	KON	et
créera	VER:futu	créer
des	PRP:det	du
disparités	NOM	disparité
entre	PRP	entre
régions	NOM	région
.	SENT	.
de	PRP	de
plus	ADV	plus
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
disparition	NOM	disparition
de	PRP	de
la	DET:ART	le
france	NOM	france
qui	PRO:REL	qui
est	VER:pres	être
en	PRP	en
marche	NOM	marche
car	KON	car
chaque	PRO:IND	chaque
région	NOM	région
élira	VER:futu	élire
ses	DET:POS	son
représentants	NOM	représentant
aux	PRP:det	au
instances	NOM	instance
européennes	ADJ	européen
.	SENT	.
ceux-ci	VER:pper	ceux-ci
ne	ADV	ne
parleront	VER:futu	parler
plus	ADV	plus
au	PRP:det	au
nom	NOM	nom
de	PRP	de
la	DET:ART	le
france	NOM	france
mais	KON	mais
au	PRP:det	au
nom	NOM	nom
de	PRP	de
leur	DET:POS	leur
région	NOM	région
.	SENT	.
n'	ADV	ne
est-ce	ADJ	est-ce
d'	PRP	de
ailleurs	ADV	ailleurs
pas	ADV	pas
le	DET:ART	le
but	NOM	but
des	PRP:det	du
européistes	NOM	européistes
qui	PRO:REL	qui
veulent	VER:pres	vouloir
transformer	VER:infi	transformer
l'	DET:ART	le
europe	NOM	europe
des	PRP:det	du
nations	NOM	nation
en	PRP	en
europe	NOM	europe
des	PRP:det	du
régions	NOM	région
?	SENT	?
