c'	PRO:DEM	ce
est	VER:pres	être
après	PRP	après
avoir	VER:infi	avoir
entendu	VER:pper	entendre
plusieurs	PRO:IND	plusieurs
personnes	NOM	personne
et	KON	et
recueilli	VER:pper	recueillir
diverses	ADJ	divers
informations	NOM	information
que	KON	que
les	DET:ART	le
gendarmes	NOM	gendarme
de	PRP	de
la	DET:ART	le
brigade	NOM	brigade
territoriale	ADJ	territorial
de	PRP	de
charmes	NOM	charme
ont	VER:pres	avoir
identifié	VER:pper	identifier
l'	DET:ART	le
auteur	NOM	auteur
des	PRP:det	du
vols	NOM	vol
commis	VER:pper	commettre
au	PRP:det	au
préjudice	NOM	préjudice
de	PRP	de
l'	DET:ART	le
enseigne	NOM	enseigne
«	PUN:cit	«
look	NOM	look
textile	ADJ	textile
»,	ADJ	»,
au	PRP:det	au
cours	NOM	cour|cours
des	PRP:det	du
nuits	NOM	nuit
du	PRP:det	du
29	NUM	@card@
au	PRP:det	au
30	NUM	@card@
octobre	NOM	octobre
2002	NUM	@card@
et	KON	et
du	PRP:det	du
31	NUM	@card@
décembre	NOM	décembre
au	PRP:det	au
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
2003	NUM	@card@
interpellé	VER:pper	interpeller
,	PUN	,
l'	DET:ART	le
auteur	NOM	auteur
présumé	VER:pper	présumer
des	PRP:det	du
faits	NOM	fait
a	VER:pres	avoir
nié	VER:pper	nier
dans	PRP	dans
un	DET:ART	un
premier	NUM	premier
temps	NOM	temps
mais	KON	mais
le	DET:ART	le
stock	NOM	stock
de	PRP	de
vêtements	NOM	vêtement
dissimulé	VER:pper	dissimuler
à	PRP	à
son	DET:POS	son
domicile	NOM	domicile
,	PUN	,
dans	PRP	dans
le	DET:ART	le
quartier	NOM	quartier
des	PRP:det	du
folies	NOM	folie
,	PUN	,
l'	PRO:PER	la|le
a	VER:pres	avoir
confondu	VER:pper	confondre
ainsi	ADV	ainsi
que	KON	que
sa	DET:POS	son
compagne	NOM	compagne
.	SENT	.
les	DET:ART	le
deux	NUM	deux
carpiniens	NOM	carpiniens
devront	VER:futu	devoir
répondre	VER:infi	répondre
de	PRP	de
leurs	DET:POS	leur
actes	NOM	acte
courant	VER:ppre	courir
mars	NOM	mars
devant	PRP	devant
le	DET:ART	le
tribunal	NOM	tribunal
correctionnel	ADJ	correctionnel
d'	PRP	de
epinal	NOM	epinal
,	PUN	,
l'	DET:ART	le
homme	NOM	homme
pour	PRP	pour
«	PUN:cit	«
vol	NOM	vol
et	KON	et
recel	NOM	recel
»,	VER:subi	»,
sa	DET:POS	son
concubine	NOM	concubin|concubine
pour	PRP	pour
«	PUN:cit	«
recel	NOM	recel
».	VER:impf	».
l'	DET:ART	le
individu	NOM	individu
s'	PRO:PER	se
était	VER:impf	être
introduit	VER:pper	introduire
dans	PRP	dans
le	DET:ART	le
magasin	NOM	magasin
en	PRP	en
brisant	VER:ppre	briser
une	DET:ART	un
vitre	NOM	vitre
.	SENT	.
une	DET:ART	un
fois	NOM	foi|fois
à	PRP	à
l'	DET:ART	le
intérieur	NOM	intérieur
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
dérobé	VER:pper	dérober
de	PRP	de
nombreux	ADJ	nombreux
vêtements	NOM	vêtement
et	KON	et
sous-vêtements	NOM	sous-vêtement
pour	PRP	pour
un	DET:ART	un
préjudice	NOM	préjudice
global	ADJ	global
de	PRP	de
1.750	NUM	@card@
euros	NOM	euro
.	SENT	.
le	DET:ART	le
tout	NOM	tout
avait	VER:impf	avoir
été	VER:pper	être
disposé	VER:pper	disposer
dans	PRP	dans
un	DET:ART	un
container	NOM	container
poubelle	NOM	poubelle
.	SENT	.
avant	PRP	avant
de	PRP	de
prendre	VER:infi	prendre
la	DET:ART	le
fuite	NOM	fuite
par	PRP	par
la	DET:ART	le
réserve	NOM	réserve
.	SENT	.
la	DET:ART	le
quasi	ADV	quasi
totalité	NOM	totalité
des	PRP:det	du
étoffes	NOM	étoffe
a	VER:pres	avoir
été	VER:pper	être
retrouvée	VER:pper	retrouver
.	SENT	.
une	DET:ART	un
affaire	NOM	affaire
rondement	ADV	rondement
ficelée	VER:pper	ficeler
.	SENT	.
