«	PUN:cit	«
c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
un	DET:ART	un
enthousiasme	NOM	enthousiasme
renouvelé	VER:pper	renouveler
que	KON	que
je	PRO:PER	je
vous	PRO:PER	vous
souhaite	VER:pres	souhaiter
une	DET:ART	un
très	ADV	très
bonne	ADJ	bon
année	NOM	année
.	SENT	.
que	KON	que
cette	PRO:DEM	ce
nouvelle	ADJ	nouveau
année	NOM	année
soit	KON	soit
pour	PRP	pour
chacune	PRO:IND	chacun
et	KON	et
chacun	PRO:IND	chacun
d'	PRP	de
entre	PRP	entre
vous	PRO:PER	vous
une	DET:ART	un
année	NOM	année
de	PRP	de
santé	NOM	santé
,	PUN	,
de	PRP	de
joie	NOM	joie
,	PUN	,
de	PRP	de
bonheur	NOM	bonheur
et	KON	et
de	PRP	de
réussite	NOM	réussite
personnelle	ADJ	personnel
ou	KON	ou
professionnelle	ADJ	professionnel
.	SENT	.
pour	PRP	pour
epinal	NOM	epinal
,	PUN	,
je	PRO:PER	je
forme	VER:pres	former
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
solidarité	NOM	solidarité
.	SENT	.
pour	PRP	pour
le	DET:ART	le
département	NOM	département
,	PUN	,
je	PRO:PER	je
forme	VER:pres	former
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
prospérité	NOM	prospérité
.	SENT	.
pour	PRP	pour
notre	DET:POS	notre
pays	NOM	pays
,	PUN	,
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
d'	PRP	de
espérance	NOM	espérance
et	KON	et
de	PRP	de
paix	NOM	paix
(..	ABR	(..
)	PUN	)
2002	ABR	@card@
restera	VER:futu	rester
l'	DET:ART	le
année	NOM	année
du	PRP:det	du
rassemblement	NOM	rassemblement
républicain	ADJ	républicain
.	SENT	.
cette	PRO:DEM	ce
ambition	NOM	ambition
,	PUN	,
votre	DET:POS	votre
ambition	NOM	ambition
,	PUN	,
nous	PRO:PER	nous
devons	VER:pres	devoir
la	PRO:PER	la
servir	VER:infi	servir
.	SENT	.
si	KON	si
la	DET:ART	le
sécurité	NOM	sécurité
est	VER:pres	être
une	DET:ART	un
attente	NOM	attente
très	ADV	très
forte	ADJ	fort
,	PUN	,
la	DET:ART	le
solidarité	NOM	solidarité
ne	ADV	ne
l'	PRO:PER	la|le
est	VER:pres	être
pas	ADV	pas
moins	ADV	moins
.	SENT	.
l'	DET:ART	le
époque	NOM	époque
des	PRP:det	du
fêtes	NOM	fête
nous	PRO:PER	nous
rend	VER:pres	rendre
particulièrement	ADV	particulièrement
sensibles	ADJ	sensible
à	PRP	à
la	DET:ART	le
détresse	NOM	détresse
,	PUN	,
au	PRP:det	au
dénuement	NOM	dénuement
de	PRP	de
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
sont	VER:pres	être
en	PRP	en
situation	NOM	situation
de	PRP	de
survie	NOM	survie
.	SENT	.
mais	KON	mais
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
bonne	ADJ	bon
période	NOM	période
pour	PRP	pour
la	DET:ART	le
misère	NOM	misère
.	SENT	.
elle	PRO:PER	elle
est	VER:pres	être
intolérable	ADJ	intolérable
dans	PRP	dans
une	DET:ART	un
société	NOM	société
prospère	ADJ	prospère
comme	KON	comme
la	DET:ART	le
nôtre	PRO:POS	nôtre
.	SENT	.
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
fiers	ADJ	fier
de	PRP	de
notre	DET:POS	notre
système	NOM	système
social	ADJ	social
et	KON	et
nous	PRO:PER	nous
avons	VER:pres	avoir
des	PRP:det	du
raisons	NOM	raison
pour	PRP	pour
cela	PRO:DEM	cela
.	SENT	.
pourtant	ADV	pourtant
,	PUN	,
il	PRO:PER	il
se	PRO:PER	se
révèle	VER:pres	révéler
trop	ADV	trop
souvent	ADV	souvent
impuissant	ADJ	impuissant
face	NOM	face
à	PRP	à
la	DET:ART	le
souffrance	NOM	souffrance
.	SENT	.
bien	ADV	bien
sûr	ADJ	sûr
,	PUN	,
les	DET:ART	le
grands	ADJ	grand
blessés	NOM	blessé
de	PRP	de
la	DET:ART	le
vie	NOM	vie
ont	VER:pres	avoir
besoin	NOM	besoin
d'	PRP	de
une	DET:ART	un
prise	NOM	prise
en	PRP	en
charge	NOM	charge
fraternelle	ADJ	fraternel
.	SENT	.
mais	KON	mais
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
souffrent	VER:pres	souffrir
du	PRP:det	du
chômage	NOM	chômage
,	PUN	,
avant	PRP	avant
de	PRP	de
perdre	VER:infi	perdre
peu	ADV	peu
à	PRP	à
peu	ADV	peu
tout	PRO:IND	tout
ce	PRO:DEM	ce
qui	PRO:REL	qui
fait	VER:pres	faire
l'	DET:ART	le
identité	NOM	identité
d'	PRP	de
une	DET:ART	un
personne	NOM	personne
,	PUN	,
ont	VER:pres	avoir
besoin	NOM	besoin
d'	PRP	de
une	DET:ART	un
solidarité	NOM	solidarité
de	PRP	de
proximité	NOM	proximité
(...	ABR	(...
)	PUN	)
c'	PRO:DEM	ce
est	VER:pres	être
au	PRP:det	au
