samedi	NOM	samedi
dernier	ADJ	dernier
,	PUN	,
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
enfants	NOM	enfant
de	PRP	de
rêves	NOM	rêve
et	KON	et
d'	PRP	de
espoir	NOM	espoir
»	PUN:cit	»
a	VER:pres	avoir
organisé	VER:pper	organiser
sa	DET:POS	son
traditionnelle	ADJ	traditionnel
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
,	PUN	,
suivie	VER:pper	suivre
de	PRP	de
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
,	PUN	,
au	PRP:det	au
cse	NOM	cse
de	PRP	de
châtenois-les-forges	NOM	châtenois-les-forges
.	SENT	.
la	DET:ART	le
présidente	NOM	président
a	VER:pres	avoir
remercié	VER:pper	remercier
pour	PRP	pour
leur	DET:POS	leur
présence	NOM	présence
le	DET:ART	le
maire	NOM	maire
et	KON	et
le	DET:ART	le
curé	NOM	curé
de	PRP	de
châtenois	NOM	châtenois
,	PUN	,
m.	ABR	m.
enggist	NOM	enggist
,	PUN	,
membre	NOM	membre
d'	PRP	de
honneur	NOM	honneur
de	PRP	de
l'	DET:ART	le
association	NOM	association
,	PUN	,
et	KON	et
son	DET:POS	son
épouse	NOM	épouse
,	PUN	,
ainsi	KON	ainsi
que	KON	que
les	DET:ART	le
cinq	NUM	cinq
enfants	NOM	enfant
présents	ADJ	présent
à	PRP	à
cet	PRO:DEM	ce
après-midi	NOM	après-midi
galette	VER:pres	galeter
et	KON	et
leur	DET:POS	leur
famille	NOM	famille
.	SENT	.
mme	ADJ	mme
vetter	NOM	vetter
a	VER:pres	avoir
présenté	VER:pper	présenter
à	PRP	à
toute	PRO:IND	tout
l'	DET:ART	le
assistance	NOM	assistance
ses	DET:POS	son
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
pour	PRP	pour
l'	DET:ART	le
année	NOM	année
2003	NUM	@card@
et	KON	et
a	VER:pres	avoir
passé	VER:pper	passer
la	DET:ART	le
parole	NOM	parole
à	PRP	à
mme	ADJ	mme
durrenwachter	NOM	durrenwachter
,	PUN	,
vice-présidente	NOM	vice-président
,	PUN	,
pour	PRP	pour
