chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
les	DET:ART	le
rangs	NOM	rang
se	PRO:PER	se
vident	VER:pres	vider
au	PRP:det	au
sein	NOM	sein
de	PRP	de
la	DET:ART	le
section	NOM	section
des	PRP:det	du
anciens	ADJ	ancien
combattants	ADJ	combattant
prisonniers	NOM	prisonnier
de	PRP	de
guerre	NOM	guerre
et	KON	et
veuves	NOM	veuf|veuve
.	SENT	.
les	DET:ART	le
prisonniers	NOM	prisonnier
de	PRP	de
guerre	NOM	guerre
(	PUN	(
pg	NOM	pg
)	PUN	)
ne	ADV	ne
sont	VER:pres	être
plus	ADV	plus
que	KON	que
treize	NUM	treize
à	PRP	à
l'	DET:ART	le
effectif	NOM	effectif
et	KON	et
les	DET:ART	le
veuves	NOM	veuf|veuve
,	PUN	,
vingt-et-une	NUM	vingt-et-une
.	SENT	.
une	DET:ART	un
logique	NOM	logique
implacable	ADJ	implacable
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
annuelle	ADJ	annuel
,	PUN	,
une	DET:ART	un
minute	NOM	minute
de	PRP	de
silence	NOM	silence
a	VER:pres	avoir
été	VER:pper	être
observée	VER:pper	observer
à	PRP	à
la	DET:ART	le
mémoire	NOM	mémoire
de	PRP	de
fernand	ADJ	fernand
altenburger	NOM	altenburger
et	KON	et
raymond	NOM	raymond
staub	NOM	staub
,	PUN	,
disparus	VER:pper	disparaître
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
thérèse	NOM	thérèse
eismann	ADJ	eismann
,	PUN	,
la	DET:ART	le
secrétaire	NOM	secrétaire
,	PUN	,
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
bilan	NOM	bilan
de	PRP	de
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
,	PUN	,
excusant	VER:ppre	excuser
malades	ADJ	malade
et	KON	et
hospitalisés	VER:pper	hospitaliser
.	SENT	.
«	PUN:cit	«
pour	PRP	pour
2003	NUM	@card@
essayons	VER:pres	essayer|essayer
de	PRP	de
tenir	VER:infi	tenir
le	DET:ART	le
coup	NOM	coup
»,	ADJ	»,
a-t-elle	ADJ	a-t-elle
lancé	NOM	lancé
.	SENT	.
et	KON	et
d'	PRP	de
annoncer	VER:infi	annoncer
que	KON	que
le	DET:ART	le
21	NUM	@card@
mai	NOM	mai
,	PUN	,
une	DET:ART	un
sortie	NOM	sortie
pour	PRP	pour
les	DET:ART	le
veuves	NOM	veuf|veuve
serait	VER:cond	être
organisée	VER:pper	organiser
à	PRP	à
etain	NOM	etain
.	SENT	.
claude	NOM	claude
hartmann	NOM	hartmann
,	PUN	,
maire	NOM	maire
,	PUN	,
était	VER:impf	être
venu	VER:pper	venir
assister	VER:infi	assister
à	PRP	à
la	DET:ART	le
réunion	NOM	réunion
comme	ADV	comme
rené	VER:pper	renaître
toussaint	NOM	toussaint
et	KON	et
louis	NOM	louis
santi	NOM	santi
pour	PRP	pour
la	DET:ART	le
fdcr	NOM	fdcr
,	PUN	,
bernard	NOM	bernard
munch	NOM	munch
,	PUN	,
pour	PRP	pour
sa	DET:POS	son
part	NOM	part
,	PUN	,
représentait	VER:impf	représenter
le	DET:ART	le
souvenir	NOM	souvenir
français	ADJ	français
.	SENT	.
l'	DET:ART	le
association	NOM	association
départementale	ADJ	départemental
était	VER:impf	être
représentée	VER:pper	représenter
par	PRP	par
christian	ADJ	christian
kuhn	NOM	kuhn
,	PUN	,
responsable	ADJ	responsable
au	PRP:det	au
sein	NOM	sein
de	PRP	de
l'	DET:ART	le
association	NOM	association
départementale	ADJ	départemental
,	PUN	,
ainsi	KON	ainsi
que	KON	que
jean-louis	NOM	jean-louis
dappe	NOM	dappe
,	PUN	,
délégué	VER:pper	déléguer
cantonal	ADJ	cantonal
,	PUN	,
pour	PRP	pour
aborder	VER:infi	aborder
les	DET:ART	le
différents	ADJ	différent
problèmes	NOM	problème
de	PRP	de
l'	DET:ART	le
association	NOM	association
,	PUN	,
la	DET:ART	le
section	NOM	section
locale	ADJ	local
veut	VER:pres	vouloir
encore	ADV	encore
vivre	VER:infi	vivre
...	PUN	...
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
donnée	VER:pper	donner
comme	ADV	comme
président	NOM	président
charles	VER:pres	charles
eismann	NOM	eismann
,	PUN	,
jusqu'alors	NOM	jusqu'alors
vice-président	NOM	vice-président
,	PUN	,
mais	KON	mais
membre	NOM	membre
depuis	PRP	depuis
la	DET:ART	le
première	NUM	premier
heure	NOM	heure
lors	ADV	lors
de	PRP	de
la	DET:ART	le
création	NOM	création
,	PUN	,
au	PRP:det	au
retour	NOM	retour
de	PRP	de
captivité	NOM	captivité
.	SENT	.
