féminines	ADJ	féminin
-	PUN	-
18	NUM	@card@
ans	NOM	an
interrégional	ADJ	interrégional
hbc	ADJ	hbc
beaune	NOM	beaune
-	PUN	-
hbc	NOM	hbc
semur	NOM	semur
25	NUM	@card@
-	PUN	-
24	NUM	@card@
hbc	NOM	hbc
moirans	NOM	moirans
-	PUN	-
dole	VER:pres	doler
hb	NOM	hb
36	NUM	@card@
-	PUN	-
8	NUM	@card@
excellence	NOM	excellence
pays	NOM	pays
riolais	VER:impf	riolais
-	PUN	-
esb	NOM	esb
f	ADJ	f
(	PUN	(
b	VER:pper	b
)	PUN	)
32	NUM	@card@
-	PUN	-
13	NUM	@card@
lons	NOM	lons
-	PUN	-
maîche	NOM	maîche
7	NUM	@card@
-	PUN	-
0	NUM	@card@
(	PUN	(
fft	NOM	fft
)	PUN	)
régional	ADJ	régional
c.	VER:futu	c.
dampierre	NOM	dampierre
-	PUN	-
ascap	NOM	ascap
25	NUM	@card@
-	PUN	-
15	NUM	@card@
cs	ADJ	cs
vesoul	NOM	vesoul
-	PUN	-
luxeuil	NOM	luxeuil
19	NUM	@card@
-	PUN	-
25	NUM	@card@
esb	NOM	esb
f	ADJ	f
(	PUN	(
c	VER:pper	c
)	PUN	)
-	PUN	-
chaussin	NOM	chaussin
26	NUM	@card@
-	PUN	-
17	NUM	@card@
-	PUN	-
16	NUM	@card@
ans	NOM	an
excellence	NOM	excellence
us	NOM	us
saint-vit	NOM	saint-vit
-	PUN	-
cap	NOM	cap
20	NUM	@card@
-	PUN	-
26	NUM	@card@
vauvillers	NOM	vauvillers
-	PUN	-
dole	VER:pres	doler
hb	NOM	hb
23	NUM	@card@
-	PUN	-
18	NUM	@card@
grandvillars	NOM	grandvillars
-	PUN	-
luxeuil	NOM	luxeuil
22	NUM	@card@
-	PUN	-
39	NUM	@card@
saône-mamirolle	NOM	saône-mamirolle
-	PUN	-
esb	NOM	esb
f	ADJ	f
(	PUN	(
a	VER:pres	avoir
)	PUN	)
12	NUM	@card@
-	PUN	-
38	NUM	@card@
honneur	NOM	honneur
pays	NOM	pays
riolais	VER:impf	riolais
-	PUN	-
pouilley	VER:ppre	pouilley
les	DET:ART	le
v	NOM	v
29	NUM	@card@
-	PUN	-
19	NUM	@card@
esb	NOM	esb
f	ADJ	f
(	PUN	(
c	VER:pper	c
)	PUN	)
-	PUN	-
cs	VER:simp	cs
vesoul	NOM	vesoul
30	NUM	@card@
-	PUN	-
6	NUM	@card@
villersexel	NOM	villersexel
-	PUN	-
noidans	NOM	noidans
6	NUM	@card@
-	PUN	-
36	NUM	@card@
grandfontaine	NOM	grandfontaine
-	PUN	-
val	NOM	val
de	PRP	de
gray	NOM	gray
21	NUM	@card@
-	PUN	-
15	NUM	@card@
vauvillers	NOM	vauvillers
(	PUN	(
b	VER:pper	b
)	PUN	)
-	PUN	-
sochaux	NOM	sochaux
15	NUM	@card@
-	PUN	-
33	NUM	@card@
as	NOM	as
rougemont	VER:futu	rougemont
-	PUN	-
hbc	NOM	hbc
clerval	NOM	clerval
13	NUM	@card@
-	PUN	-
7	NUM	@card@
bavans	ADJ	bavans
-	PUN	-
fougerolles	NOM	fougerolles
29	NUM	@card@
-	PUN	-
22	NUM	@card@
beex	NOM	beex
va	VER:pres	aller
-	PUN	-
melisey	NOM	melisey
hb	NOM	hb
17	NUM	@card@
-	PUN	-
24	NUM	@card@
hbc	NOM	hbc
moirans	NOM	moirans
-	PUN	-
us	NOM	us
lons	VER:ppre	lons
18	NUM	@card@
-	PUN	-
19	NUM	@card@
chaux	NOM	chaux
des	PRP:det	du
près	ADV	près
-	PUN	-
chaussin	NOM	chaussin
21	NUM	@card@
-	PUN	-
20	NUM	@card@
levier	NOM	levier
-	PUN	-
fraisans	NOM	fraisans
14	NUM	@card@
-	PUN	-
21	NUM	@card@
gilley	NOM	gilley
-	PUN	-
ornans	NOM	ornans
7	NUM	@card@
-	PUN	-
0	NUM	@card@
(	PUN	(
fft	NOM	fft
)	PUN	)
ca	VER:simp	ca
morteau	NOM	morteau
-	PUN	-
vercel	NOM	vercel
hb	NAM	hb
p.	ABR	p.
27	NUM	@card@
-	PUN	-
23	NUM	@card@
-	PUN	-
13	NUM	@card@
ans	NOM	an
excellence	NOM	excellence
esb	NOM	esb
f	ADJ	f
(	PUN	(
a	VER:pres	avoir
)	PUN	)
-	PUN	-
bauhb	NOM	bauhb
38	NUM	@card@
-	PUN	-
13	NUM	@card@
saint	ADJ	saint
vit	NOM	vit
-	PUN	-
clerval	NOM	clerval
7	NUM	@card@
-	PUN	-
0	NUM	@card@
(	PUN	(
fft	NOM	fft
)	PUN	)
hbc	NOM	hbc
noidans	ADJ	noidans
-	PUN	-
poligny	NOM	poligny
11	NUM	@card@
-	PUN	-
8	NUM	@card@
honneur	NOM	honneur
val	NOM	val
de	PRP	de
gray	NOM	gray
-	PUN	-
val	NOM	val
ognon	NOM	ognon
25	NUM	@card@
-	PUN	-
2	NUM	@card@
esb	NOM	esb
f	ADJ	f
(	PUN	(
b	VER:pper	b
)	PUN	)
-	PUN	-
noidans	ADJ	noidans
(	PUN	(
b	VER:pper	b
)	PUN	)
30	NUM	@card@
-	PUN	-
14	NUM	@card@
pouilley	VER:simp	pouilley
les	DET:ART	le
v	NOM	v
-	PUN	-
val	NOM	val
saône	NOM	saône
13	NUM	@card@
-	PUN	-
10	NUM	@card@
esb	NOM	esb
f	ADJ	f
(	PUN	(
d	VER:pper	d
)	PUN	)
-	PUN	-
pays	NOM	pays
riolais	VER:impf	riolais
hb	NOM	hb
4	NUM	@card@
-	PUN	-
37	NUM	@card@
fougerolles	NOM	fougerolles
-	PUN	-
grandvillars	NOM	grandvillars
36	NUM	@card@
-	PUN	-
7	NUM	@card@
val	NOM	val
d'	PRP	de
oye	NOM	oye
-	PUN	-
melisey	NOM	melisey
31	NUM	@card@
-	PUN	-
8	NUM	@card@
chaussin	NOM	chaussin
-	PUN	-
arbois	NOM	arbois
(	PUN	(
b	VER:pper	b
)	PUN	)
18	NUM	@card@
-	PUN	-
14	NUM	@card@
lons	NOM	lons
(	PUN	(
b	VER:pper	b
)	PUN	)
-	PUN	-
moirans	NOM	moirans
8	NUM	@card@
-	PUN	-
12	NUM	@card@
esb	NOM	esb
f	ADJ	f
(	PUN	(
c	VER:pper	c
)	PUN	)
-	PUN	-
us	NOM	us
lons	VER:ppre	lons
9	NUM	@card@
-	PUN	-
16	NUM	@card@
gilley	NOM	gilley
-	PUN	-
ornans	NOM	ornans
34	NUM	@card@
-	PUN	-
4	NUM	@card@
cap	NOM	cap
(	PUN	(
b	VER:pper	b
)	PUN	)
-	PUN	-
baume	NOM	baume
hb	NOM	hb
11	NUM	@card@
-	PUN	-
8	NUM	@card@
saône-mamirolle	NOM	saône-mamirolle
-	PUN	-
vercel	NOM	vercel
17	NUM	@card@
-	PUN	-
9	NUM	@card@
orchamps	NOM	orchamps
vennes	ADJ	vennes
-	PUN	-
maîche	NOM	maîche
6	NUM	@card@
-	PUN	-
16	NUM	@card@
