qui	PRO	qui
a	VER:pres	avoir
perdu	VER:pper	perdre
le	DET:ART	le
27	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
thise	NOM	thise
,	PUN	,
croisé	VER:pper	croiser
griffon	NOM	griffon
mâle	ADJ	mâle
,	PUN	,
d'	PRP	de
environ	ADV	environ
6	NUM	@card@
ans	NOM	an
,	PUN	,
couleur	NOM	couleur
fauve	ADJ	fauve
,	PUN	,
collier	NOM	collier
cuir	NOM	cuir
.	SENT	.
contact	NOM	contact
:	PUN	:
spa	VER:simp	spa
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
80.06	NUM	@card@
.	SENT	.
89	NUM	@card@
