dimanche	NOM	dimanche
,	PUN	,
les	DET:ART	le
sapeurs	NOM	sapeur
pompiers	ADJ	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
une	DET:ART	un
fuite	NOM	fuite
de	PRP	de
gaz	NOM	gaz
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
lundi	NOM	lundi
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
intervenus	VER:pper	intervenir
à	PRP	à
12	NUM	@card@
h	ABR	heure
15	NUM	@card@
pour	PRP	pour
un	DET:ART	un
accident	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
à	PRP	à
dombasle	NOM	dombasle
,	PUN	,
à	PRP	à
12	NUM	@card@
h	ABR	heure
25	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
varangéville	NOM	varangéville
,	PUN	,
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
un	DET:ART	un
accident	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
à	PRP	à
rosières-aux-salines	NOM	rosières-aux-salines
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
saint-nicolas-de-port	NOM	saint-nicolas-de-port
et	KON	et
à	PRP	à
16	NUM	@card@
h	ABR	heure
25	NUM	@card@
pour	PRP	pour
un	DET:ART	un
feu	NOM	feu
de	PRP	de
bois	NOM	bois
à	PRP	à
rosières	NOM	rosière
.	SENT	.
