un	DET:ART	un
atelier	NOM	atelier
de	PRP	de
théâtre	NOM	théâtre
,	PUN	,
organisé	VER:pper	organiser
par	PRP	par
«	PUN:cit	«
expressions	NOM	expression
»,	ADJ	»,
est	VER:pres	être
ouvert	VER:pper	ouvrir
à	PRP	à
toute	PRO:IND	tout
personne	NOM	personne
à	PRP	à
partir	VER:infi	partir
de	PRP	de
16	NUM	@card@
ans	NOM	an
.	SENT	.
première	NUM	premier
séance	NOM	séance
demain	ADV	demain
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
«	PUN:cit	«
expressions	NOM	expression
»	PUN:cit	»
à	PRP	à
bar-le-duc	NOM	bar-le-duc
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
45.55	NUM	@card@
.	SENT	.
00	NUM	@card@
