ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
dimitri	VER:pper	dimitri
,	PUN	,
mathieu	NOM	mathieu
,	PUN	,
loïc	NOM	loïc
et	KON	et
mustapha	NOM	mustapha
,	PUN	,
ont	VER:pres	avoir
décidé	VER:pper	décider
de	PRP	de
faire	VER:infi	faire
«	PUN:cit	«
le	DET:ART	le
plus	ADV	plus
gros	ADJ	gros
bonhomme	NOM	bonhomme
de	PRP	de
neige	NOM	neige
de	PRP	de
rambervillers	NOM	rambervillers
»	PUN:cit	»
tellement	ADV	tellement
contents	ADJ	content
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
voulu	VER:pper	vouloir
immortaliser	VER:infi	immortaliser
l'	DET:ART	le
objet	NOM	objet
de	PRP	de
leur	DET:POS	leur
fierté	NOM	fierté
et	KON	et
,	PUN	,
ont	VER:pres	avoir
posé	VER:pper	poser
pour	PRP	pour
une	DET:ART	un
photo	NOM	photo
bien	ADV	bien
sympathique	ADJ	sympathique
.	SENT	.
une	DET:ART	un
activité	NOM	activité
de	PRP	de
saison	NOM	saison
!	SENT	!
