c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
librairie	NOM	librairie
nicod	NOM	nicod
qui	PRO:REL	qui
a	VER:pres	avoir
reçu	VER:pper	recevoir
samedi	NOM	samedi
l'	DET:ART	le
auteur	NOM	auteur
de	PRP	de
bandes	NOM	bande
dessinées	VER:pper	dessiner
audincourtois	ADJ	audincourtois
maxime	VER:pres	maximer
peroz	NOM	peroz
pour	PRP	pour
un	DET:ART	un
après-midi	NOM	après-midi
de	PRP	de
dédicaces	NOM	dédicace
.	SENT	.
après	PRP	après
son	DET:POS	son
discret	ADJ	discret
passage	NOM	passage
l'	DET:ART	le
an	NOM	an
dernier	ADJ	dernier
au	PRP:det	au
festival	NOM	festival
d'	PRP	de
angoulème	NOM	angoulème
,	PUN	,
maxime	NOM	maxime
peroz	NAM	peroz
s'	PRO:PER	se
est	VER:pres	être
désormais	ADV	désormais
fait	VER:pper	faire
une	DET:ART	un
place	NOM	place
dans	PRP	dans
le	DET:ART	le
domaine	NOM	domaine
de	PRP	de
la	DET:ART	le
bd	NOM	bd
.	SENT	.
trois	NUM	trois
livres	NOM	livre
ont	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
après	PRP	après
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
chercher	VER:infi	chercher
sa	DET:POS	son
fiancée	NOM	fiancé
japonaise	ADJ	japonais
à	PRP	à
hirakata	NOM	hirakata
.	SENT	.
trois	NUM	trois
oeuvres	NOM	œuvre
où	PRO:REL	où
il	PRO:PER	il
se	PRO:PER	se
donne	VER:pres	donner
à	PRP	à
fond	NOM	fond
dans	PRP	dans
un	DET:ART	un
domaine	NOM	domaine
qui	PRO:REL	qui
lui	PRO:PER	lui
est	VER:pres	être
cher	ADV	cher
:	PUN	:
la	DET:ART	le
protection	NOM	protection
de	PRP	de
la	DET:ART	le
planète	NOM	planète
.	SENT	.
maxime	NOM	maxime
peroz	NOM	peroz
,	PUN	,
comme	KON	comme
on	PRO:PER	on
le	PRO:PER	le
pensait	VER:impf	penser
en	PRP	en
2002	NUM	@card@
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
resté	VER:pper	rester
dans	PRP	dans
l'	DET:ART	le
ombre	NOM	ombre
très	ADV	très
longtemps	ADV	longtemps
.	SENT	.
