hier	ADV	hier
soir	NOM	soir
:	PUN	:
villepinte	NOM	villepinte
(	PUN	(
ex	ADV	ex
.	SENT	.
dép	NOM	dép
.	SENT	.
)	PUN	)
-	PUN	-
châlons	NOM	châlons
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
:	PUN	:
75	NUM	@card@
-	PUN	-
122	NUM	@card@
clermont	NOM	clermont
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
antibes	ADJ	antibes
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
non	ADV	non
disputé	VER:pper	disputer
ce	PRO:DEM	ce
soir	NOM	soir
:	PUN	:
urcuit	NOM	urcuit
(	PUN	(
n	VER:simp	n
1)	NOM	1)
-	PUN	-
saint-etienne	ADJ	saint-etienne
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
aubenas	NOM	aubenas
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
valence	NOM	valence
condom	NOM	condom
(	PUN	(
n	VER:simp	n
1)	NOM	1)
;	PUN	;
andrezieux	ADJ	andrezieux
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
toulouse	ADJ	toulouse
launaguet	NOM	launaguet
(	PUN	(
n	VER:simp	n
3)	NOM	3)
;	PUN	;
cro	NOM	cro
lyon	NOM	lyon
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
maurienne	ADJ	maurienne
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
angers	ADJ	angers
(	PUN	(
n	VER:simp	n
1)	NOM	1)
-	PUN	-
nantes	ADJ	nantes
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
la	DET:ART	le
seguinière	NOM	seguinière
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
vitre	NOM	vitre
(	PUN	(
n	VER:simp	n
2)	NOM	2)
;	PUN	;
stade	NOM	stade
français	ADJ	français
(	PUN	(
ex	ADV	ex
.	SENT	.
dép	NOM	dép
.	SENT	.
)	PUN	)
-	PUN	-
vanves	NOM	vanves
(	PUN	(
n	VER:simp	n
2)	NOM	2)
;	PUN	;
orléans	NOM	orléans
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
rueil	NOM	rueil
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
beauvais	NOM	beauvais
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
evreux	NOM	evreux
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
blois	ADJ	blois
(	PUN	(
n	VER:simp	n
2)	NOM	2)
-	PUN	-
brest	NOM	brest
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
charleville	NOM	charleville
mezière	NOM	mezière
(	PUN	(
n	VER:simp	n
2)	NOM	2)
-	PUN	-
besançon	NOM	besançon
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
csl	ADJ	csl
dijon	NOM	dijon
(	PUN	(
n	VER:simp	n
2)	NOM	2)
-	PUN	-
saint-quentin	NOM	saint-quentin
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
mulhouse	NOM	mulhouse
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
-	PUN	-
reims	NOM	reims
(	PUN	(
pro	NOM	pro
b	ADJ	b
)	PUN	)
;	PUN	;
recy	NOM	recy
(	PUN	(
n	VER:simp	n
3)	NOM	3)
-	PUN	-
golbey-epinal	ADJ	golbey-epinal
(	PUN	(
pro	NOM	pro
b	VER:futu	b
).	VER:pper	).
