ce	PRO:DEM	ce
vendredi	NOM	vendredi
31	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
associations	NOM	association
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
d'	PRP	de
auxelles-haut	NOM	auxelles-haut
,	PUN	,
spectacle	NOM	spectacle
de	PRP	de
la	DET:ART	le
conteuse	NOM	conteur
guillemette	VER:pres	guillemeter
de	PRP	de
pimodan	NOM	pimodan
.	SENT	.
l'	DET:ART	le
entrée	NOM	entrée
est	VER:pres	être
libre	ADJ	libre
.	SENT	.
le	DET:ART	le
spectacle	NOM	spectacle
qui	PRO:REL	qui
débutera	VER:futu	débuter
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
est	VER:pres	être
destiné	VER:pper	destiner
à	PRP	à
un	DET:ART	un
public	NOM	public
âgé	ADJ	âgé
d'	PRP	de
au	PRP:det	au
moins	ADV	moins
10	NUM	@card@
ans	NOM	an
.	SENT	.
