suite	NOM	suite
aux	PRP:det	au
travaux	NOM	travail
envisagés	VER:pper	envisager
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
266	NUM	@card@
et	KON	et
à	PRP	à
l'	DET:ART	le
intervention	NOM	intervention
de	PRP	de
la	DET:ART	le
municipalité	NOM	municipalité
auprès	ADV	auprès
des	PRP:det	du
services	NOM	service
concernés	VER:pper	concerner
quant	PRP	quant
à	PRP	à
la	DET:ART	le
déviation	NOM	déviation
par	PRP	par
la	DET:ART	le
rd	NOM	rd
426	NUM	@card@
débouchant	VER:ppre	déboucher
sur	PRP	sur
le	DET:ART	le
carrefour	NOM	carrefour
avec	PRP	avec
la	DET:ART	le
rn	NOM	rn
83	NUM	@card@
la	DET:ART	le
direction	NOM	direction
départementale	ADJ	départemental
de	PRP	de
l'	DET:ART	le
equipement	NOM	equipement
a	VER:pres	avoir
décidé	VER:pper	décider
de	PRP	de
retenir	VER:infi	retenir
officiellement	ADV	officiellement
la	DET:ART	le
déviation	NOM	déviation
suivante	ADJ	suivant
:	PUN	:
_	NOM	_
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
vaire-le-petit	VER:simp	vaire-le-petit
direction	NOM	direction
deluz	NOM	deluz
:	PUN	:
rn	VER:pper	rn
83	NUM	@card@
roulans	NOM	roulans
jusqu'à	NOM	jusqu'à
l'	DET:ART	le
intersection	NOM	intersection
rn	VER:futu	rn
83	NUM	@card@
-	PUN	-
rd	VER:pper	rd
30	NUM	@card@
;	PUN	;
rd	VER:pper	rd
30	NUM	@card@
jusqu'au	NOM	jusqu'au
giratoire	ADJ	giratoire
de	PRP	de
laissey	NOM	laissey
;	PUN	;
rd	VER:pper	rd
266	NUM	@card@
deluz	NOM	deluz
:	PUN	:
fin	NOM	fin
de	PRP	de
déviation	NOM	déviation
.	SENT	.
_	NOM	_
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
deluz	NOM	deluz
-	PUN	-
direction	NOM	direction
vaire-le-petit	VER:simp	vaire-le-petit
:	PUN	:
deluz	NOM	deluz
rd	VER:ppre	rd
266	NUM	@card@
direction	NOM	direction
et	KON	et
jusqu'au	NOM	jusqu'au
giratoire	ADJ	giratoire
de	PRP	de
laissey	NOM	laissey
;	PUN	;
rd	VER:pper	rd
30	NUM	@card@
roulans	NOM	roulans
jusqu'à	NOM	jusqu'à
l'	DET:ART	le
intersection	NOM	intersection
des	PRP:det	du
rd	NOM	rd
30	NUM	@card@
-	PUN	-
rn	VER:pper	rn
83	NUM	@card@
;	PUN	;
rn	VER:pper	rn
83	NUM	@card@
direction	NOM	direction
vaire-le-petit	VER:simp	vaire-le-petit
:	PUN	:
fin	NOM	fin
de	PRP	de
déviation	NOM	déviation
.	SENT	.
