c'	PRO:DEM	ce
est	VER:pres	être
désormais	ADV	désormais
devenu	VER:pper	devenir
une	DET:ART	un
tradition	NOM	tradition
à	PRP	à
lachapelle-sous-rougemont	VER:futu	lachapelle-sous-rougemont
,	PUN	,
les	DET:ART	le
élus	NOM	élu
se	PRO:PER	se
retrouvent	VER:pres	retrouver
avec	PRP	avec
les	DET:ART	le
employés	NOM	employé
municipaux	ADJ	municipal
pour	PRP	pour
un	DET:ART	un
apéritif	NOM	apéritif
convivial	ADJ	convivial
.	SENT	.
ainsi	ADV	ainsi
valérie	NOM	valérie
,	PUN	,
céline	NOM	céline
,	PUN	,
patricia	NOM	patricia
et	KON	et
michel	NOM	michel
se	PRO:PER	se
sont	VER:pres	être
retrouvés	VER:pper	retrouver
chez	PRP	chez
ronfort	NOM	ronfort
.	SENT	.
a	VER:pres	avoir
noter	VER:infi	noter
l'	DET:ART	le
absence	NOM	absence
d'	PRP	de
emilie	NOM	emilie
et	KON	et
de	PRP	de
samuel	NOM	samuel
,	PUN	,
tous	PRO:IND	tout
deux	NOM	deux
légèrement	ADV	légèrement
souffrants	ADJ	souffrant
,	PUN	,
à	PRP	à
qui	PRO:REL	qui
le	DET:ART	le
maire	NOM	maire
et	KON	et
l'	DET:ART	le
assemblée	NOM	assemblée
toute	PRO:IND	tout
entière	ADJ	entier
ont	VER:pres	avoir
souhaité	VER:pper	souhaiter
un	DET:ART	un
prompt	ADJ	prompt
rétablissement	NOM	rétablissement
.	SENT	.
