hier	ADV	hier
vers	PRP	vers
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
une	DET:ART	un
collision	NOM	collision
entre	PRP	entre
une	DET:ART	un
voiture	NOM	voiture
et	KON	et
un	DET:ART	un
scooter	NOM	scooter
s'	PRO:PER	se
est	VER:pres	être
produite	VER:pper	produire
impasse	NOM	impasse
camus	ADJ	camus
,	PUN	,
à	PRP	à
bethoncourt	NOM	bethoncourt
.	SENT	.
les	DET:ART	le
pompiers	NOM	pompier
ont	VER:pres	avoir
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
un	DET:ART	un
adolescent	NOM	adolescent
de	PRP	de
17	NUM	@card@
ans	NOM	an
qui	PRO:REL	qui
présentait	VER:impf	présenter
une	DET:ART	un
plaie	NOM	plaie
au	PRP:det	au
visage	NOM	visage
et	KON	et
à	PRP	à
une	DET:ART	un
cuisse	NOM	cuisse
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
dirigé	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
de	PRP	de
montbéliard	NOM	montbéliard
.	SENT	.
