au	PRP:det	au
moment	NOM	moment
de	PRP	de
partir	VER:infi	partir
à	PRP	à
son	DET:POS	son
travail	NOM	travail
,	PUN	,
alain	NOM	alain
bernard	NOM	bernard
a	VER:pres	avoir
constaté	VER:pper	constater
que	KON	que
son	DET:POS	son
véhicule	NOM	véhicule
de	PRP	de
fonction	NOM	fonction
était	VER:impf	être
sur	PRP	sur
cales	NOM	cale
et	KON	et
démuni	VER:pper	démunir
de	PRP	de
ses	DET:POS	son
roues	NOM	roue
.	SENT	.
les	DET:ART	le
faits	NOM	fait
semblent	VER:pres	sembler
s'	PRO:PER	se
être	VER:infi	être
déroulés	VER:pper	dérouler
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
dimanche	NOM	dimanche
à	PRP	à
lundi	NOM	lundi
,	PUN	,
devant	PRP	devant
son	DET:POS	son
domicile	NOM	domicile
.	SENT	.
le	DET:ART	le
mois	NOM	moi|mois
dernier	ADJ	dernier
,	PUN	,
le	DET:ART	le
réservoir	NOM	réservoir
de	PRP	de
son	DET:POS	son
véhicule	NOM	véhicule
personnel	ADJ	personnel
avait	VER:impf	avoir
déjà	ADV	déjà
était	VER:impf	être
siphonné	VER:pper	siphonner
.	SENT	.
plainte	NOM	plainte
a	VER:pres	avoir
été	VER:pper	être
déposée	VER:pper	déposer
à	PRP	à
la	DET:ART	le
gendarmerie	NOM	gendarmerie
de	PRP	de
souilly	NOM	souilly
.	SENT	.
