hier	ADV	hier
,	PUN	,
vers	PRP	vers
7	NUM	@card@
h	ABR	heure
45	NUM	@card@
un	DET:ART	un
accident	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
s'	PRO:PER	se
est	VER:pres	être
produit	VER:pper	produire
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
.	SENT	.
30	NUM	@card@
sur	PRP	sur
la	DET:ART	le
commune	NOM	commune
de	PRP	de
rehaupal	NOM	rehaupal
.	SENT	.
bruno	NOM	bruno
bonne	ADJ	bon
,	PUN	,
25	NUM	@card@
ans	NOM	an
,	PUN	,
demeurant	VER:ppre	demeurer
à	PRP	à
rehaupal	NOM	rehaupal
,	PUN	,
circulait	VER:impf	circuler
en	PRP	en
direction	NOM	direction
de	PRP	de
laveline-du-houx	NOM	laveline-du-houx
lorsqu'il	ADJ	lorsqu'il
s'	PRO:PER	se
est	VER:pres	être
déporté	VER:pper	déporter
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
d'	PRP	de
une	DET:ART	un
courbe	NOM	courbe
à	PRP	à
gauche	ADJ	gauche
pour	PRP	pour
une	DET:ART	un
raison	NOM	raison
que	KON	que
l'	DET:ART	le
enquête	NOM	enquête
tentera	VER:futu	tenter
d'	PRP	de
établir	VER:infi	établir
.	SENT	.
dans	PRP	dans
sa	DET:POS	son
course	NOM	course
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
allé	VER:pper	aller
heurter	VER:infi	heurter
le	DET:ART	le
cyclomoteur	NOM	cyclomoteur
conduit	VER:pres	conduire
par	PRP	par
jonathan	ADJ	jonathan
meyer	NOM	meyer
,	PUN	,
19	NUM	@card@
ans	NOM	an
,	PUN	,
domicilié	VER:pper	domicilier
à	PRP	à
laveline-du-houx	NOM	laveline-du-houx
.	SENT	.
souffrant	VER:ppre	souffrir
d'	PRP	de
une	DET:ART	un
fracture	NOM	fracture
au	PRP:det	au
fémur	NOM	fémur
,	PUN	,
le	DET:ART	le
jeune	ADJ	jeune
pilote	NOM	pilote
a	VER:pres	avoir
été	VER:pper	être
transporté	VER:pper	transporter
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
au	PRP:det	au
centre	NOM	centre
hospitalier	ADJ	hospitalier
jean-monnet	NOM	jean-monnet
d'	PRP	de
epinal	NOM	epinal
.	SENT	.
les	DET:ART	le
gendarmes	NOM	gendarme
de	PRP	de
la	DET:ART	le
brigade	NOM	brigade
territoriale	ADJ	territorial
de	PRP	de
corcieux	ADJ	corcieux
ont	VER:pres	avoir
procédé	VER:pper	procéder
aux	PRP:det	au
constatations	NOM	constatation
d'	PRP	de
usage	NOM	usage
.	SENT	.
