ce	PRO:DEM	ce
vendredi	NOM	vendredi
matin	NOM	matin
à	PRP	à
7	NUM	@card@
h	ABR	heure
45	NUM	@card@
au	PRP:det	au
siège	NOM	siège
social	ADJ	social
du	PRP:det	du
vélo-club	NOM	vélo-club
,	PUN	,
le	DET:ART	le
bureau	NOM	bureau
du	PRP:det	du
club	NOM	club
affaires	NOM	affaire
qui	PRO:REL	qui
soutient	VER:pres	soutenir
le	DET:ART	le
vélo-club	NOM	vélo-club
des	PRP:det	du
cantons	NOM	canton
de	PRP	de
morteau-montbenoit	NOM	morteau-montbenoit
et	KON	et
le	DET:ART	le
club	NOM	club
de	PRP	de
badminton	NOM	badminton
se	PRO:PER	se
réunira	VER:futu	réunir
pour	PRP	pour
élire	VER:infi	élire
son	DET:POS	son
nouveau	ADJ	nouveau
président	NOM	président
.	SENT	.
