c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
immense	ADJ	immense
joie	NOM	joie
que	KON	que
nadia	ADJ	nadia
collignon	NOM	collignon
et	KON	et
lionel	NOM	lionel
contassot	ADJ	contassot
ont	VER:pres	avoir
accueilli	VER:pper	accueillir
la	DET:ART	le
naissance	NOM	naissance
de	PRP	de
leur	DET:POS	leur
premier	NUM	premier
enfant	NOM	enfant
,	PUN	,
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
à	PRP	à
1	NUM	@card@
h	ABR	heure
35	NUM	@card@
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
de	PRP	de
nancy	NOM	nancy
:	PUN	:
laura	VER:simp	laurer
pesait	VER:impf	peser
2,410	NUM	@card@
kg	ABR	kg
à	PRP	à
la	DET:ART	le
naissance	NOM	naissance
et	KON	et
mesurait	VER:impf	mesurer
46	NUM	@card@
cm	NOM	cm
.	SENT	.
nadia	NOM	nadia
et	KON	et
lionel	NOM	lionel
résident	VER:pres	résider
3	NUM	@card@
boulevard	NOM	boulevard
de	PRP	de
l'	DET:ART	le
américan	ADJ	américan
légion	NOM	légion
à	PRP	à
nancy	NOM	nancy
.	SENT	.
félicitations	NOM	félicitation
aux	PRP:det	au
heureux	ADJ	heureux
parents	NOM	parent|parents
et	KON	et
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
laura	VER:simp	laurer
.	SENT	.
