c'	PRO:DEM	ce
est	VER:pres	être
vendredi	NOM	vendredi
soir	NOM	soir
que	KON	que
la	DET:ART	le
fédération	NOM	fédération
des	PRP:det	du
écoles	NOM	école
de	PRP	de
musique	NOM	musique
est	VER:pres	être
territoire	NOM	territoire
(	PUN	(
femet	NOM	femet
)	PUN	)
a	VER:pres	avoir
organisé	VER:pper	organiser
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
au	PRP:det	au
mille	NUM	mille
club	NOM	club
de	PRP	de
montreux-château	NOM	montreux-château
.	SENT	.
anne-marie	NOM	anne-marie
forcinal	ADJ	forcinal
,	PUN	,
représentait	VER:impf	représenter
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
,	PUN	,
jacky	NOM	jacky
reuillard	ADJ	reuillard
,	PUN	,
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
du	PRP:det	du
tilleul	NOM	tilleul
et	KON	et
laurent	VER:pres	laurer
,	PUN	,
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
du	PRP:det	du
bassin	NOM	bassin
de	PRP	de
la	DET:ART	le
bourbeuse	ADJ	bourbeux
.	SENT	.
malheureusement	ADV	malheureusement
,	PUN	,
le	DET:ART	le
quorum	NOM	quorum
nécessaire	ADJ	nécessaire
pour	PRP	pour
la	DET:ART	le
prise	NOM	prise
des	PRP:det	du
délibérations	NOM	délibération
,	PUN	,
correspondant	VER:ppre	correspondre
à	PRP	à
un	DET:ART	un
tiers	NOM	tiers
des	PRP:det	du
effectifs	NOM	effectif
soit	KON	soit
au	PRP:det	au
moins	ADV	moins
32	NUM	@card@
membres	NOM	membre
,	PUN	,
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
atteint	VER:pper	atteindre
.	SENT	.
une	DET:ART	un
nouvelle	ADJ	nouveau
date	NOM	date
sera	VER:futu	être
donc	ADV	donc
fixée	VER:pper	fixer
ultérieurement	ADV	ultérieurement
.	SENT	.
l'	DET:ART	le
assemblée	NOM	assemblée
avait	VER:impf	avoir
pourtant	ADV	pourtant
été	VER:pper	être
préparée	VER:pper	préparer
de	PRP	de
façon	NOM	façon
très	ADV	très
professionnelle	ADJ	professionnel
par	PRP	par
gilles	NOM	gille
ehret	NOM	ehret
et	KON	et
georges	NOM	georges
clerc	NOM	clerc
.	SENT	.
les	DET:ART	le
deux	NUM	deux
bénévoles	NOM	bénévole
ont	VER:pres	avoir
repris	VER:pper	reprendre
le	DET:ART	le
chemin	NOM	chemin
parcouru	VER:pper	parcourir
à	PRP	à
travers	NOM	travers
un	DET:ART	un
diaporama	NOM	diaporama
qui	PRO:REL	qui
retrace	VER:pres	retracer
la	DET:ART	le
construction	NOM	construction
de	PRP	de
la	DET:ART	le
femet	NOM	femet
.	SENT	.
le	DET:ART	le
président	NOM	président
,	PUN	,
a	VER:pres	avoir
ensuite	ADV	ensuite
évoqué	VER:pper	évoquer
l'	DET:ART	le
avenir	NOM	avenir
de	PRP	de
l'	DET:ART	le
association	NOM	association
en	PRO:PER	en
précisant	VER:ppre	préciser
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
est	VER:pres	être
impératif	ADJ	impératif
que	KON	que
des	PRP:det	du
parents	NOM	parent|parents
rentrent	VER:pres	rentrer
au	PRP:det	au
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
de	PRP	de
la	DET:ART	le
femet	NOM	femet
.	SENT	.
a	VER:pres	avoir
deux	NUM	deux
,	PUN	,
nous	PRO:PER	nous
ne	ADV	ne
pouvons	VER:pres	pouvoir
plus	ADV	plus
assurer	VER:infi	assurer
la	DET:ART	le
gestion	NOM	gestion
administrative	ADJ	administratif
ainsi	ADV	ainsi
que	KON	que
la	DET:ART	le
recherche	NOM	recherche
de	PRP	de
financement	NOM	financement
de	PRP	de
la	DET:ART	le
femet	NOM	femet
!	SENT	!
»	PUN:cit	»
gilles	NOM	gille
ehret	NOM	ehret
a	VER:pres	avoir
également	ADV	également
fait	VER:pper	faire
part	NOM	part
des	PRP:det	du
projets	NOM	projet
en	PRP	en
cours	NOM	cour|cours
et	KON	et
notamment	ADV	notamment
concernant	PRP	concernant
le	DET:ART	le
financement	NOM	financement
de	PRP	de
la	DET:ART	le
femet	NOM	femet
:	PUN	:
plusieurs	PRO:IND	plusieurs
projets	NOM	projet
de	PRP	de
mécénat	NOM	mécénat
d'	PRP	de
entreprise	NOM	entreprise
sont	VER:pres	être
à	PRP	à
l'	DET:ART	le
étude	NOM	étude
et	KON	et
un	DET:ART	un
grand	ADJ	grand
week-end	NOM	week-end
loto	NOM	loto
sera	VER:futu	être
,	PUN	,
à	PRP	à
nouveau	ADJ	nouveau
,	PUN	,
organisé	VER:pper	organiser
les	DET:ART	le
16	NUM	@card@
et	KON	et
17	NUM	@card@
mars	NOM	mars
prochain	ADJ	prochain
...	PUN	...
