c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
11	NUM	@card@
janvier	NOM	janvier
dernier	ADJ	dernier
que	KON	que
lola	NOM	lola
a	VER:pres	avoir
montré	VER:pper	montrer
le	DET:ART	le
bout	NOM	bout
de	PRP	de
son	DET:POS	son
nez	NOM	nez
,	PUN	,
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
de	PRP	de
remiremont	VER:futu	remiremont
pour	PRP	pour
la	DET:ART	le
plus	ADV	plus
grande	ADJ	grand
joie	NOM	joie
de	PRP	de
ses	DET:POS	son
parents	NOM	parent|parents
,	PUN	,
christophe	NOM	christophe
lantenois	ADJ	lantenois
,	PUN	,
routier	NOM	routier
international	ADJ	international
et	KON	et
stéphanie	NOM	stéphanie
lagarde	NOM	lagarde
,	PUN	,
employée	VER:pper	employer
logistique	NOM	logistique
intérimaire	ADJ	intérimaire
,	PUN	,
qui	PRO:REL	qui
demeurent	VER:pres	demeurer
4	NUM	@card@
bis	NOM	bis
,	PUN	,
la	DET:ART	le
rochette	NOM	rochette
.	SENT	.
félicitations	NOM	félicitation
aux	PRP:det	au
parents	NOM	parent|parents
.	SENT	.
