comme	ADV	comme
annoncé	VER:pper	annoncer
,	PUN	,
compte	VER:pres	compter
tenu	VER:pper	tenir
de	PRP	de
la	DET:ART	le
montée	NOM	montée
des	PRP:det	du
températures	NOM	température
,	PUN	,
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
des	PRP:det	du
barrières	NOM	barrière
de	PRP	de
dégel	NOM	dégel
aura	VER:futu	avoir
lieu	NOM	lieu
dès	PRP	dès
ce	PRO:DEM	ce
matin	NOM	matin
à	PRP	à
partir	VER:infi	partir
de	PRP	de
8	NUM	@card@
h.	ABR	h.
sur	PRP	sur
les	DET:ART	le
3.000	NUM	@card@
km	ABR	kilomètre
de	PRP	de
route	NOM	route
que	PRO:REL	que
gère	VER:pres	gérer
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
,	PUN	,
1.455	NUM	@card@
km	ABR	kilomètre
seront	VER:futu	être
limités	VER:pper	limiter
à	PRP	à
7,5	NUM	@card@
tonnes	NOM	tonne
et	KON	et
275	NUM	@card@
km	ABR	kilomètre
à	PRP	à
12	NUM	@card@
tonnes	NOM	tonne
avec	PRP	avec
autorisation	NOM	autorisation
aux	PRP:det	au
poids	NOM	poids
lourds	ADJ	lourd
à	PRP	à
mi-charge	NOM	mi-charge
.	SENT	.
les	DET:ART	le
transporteurs	NOM	transporteur
peuvent	VER:pres	pouvoir
prendre	VER:infi	prendre
contact	NOM	contact
avec	PRP	avec
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
94.53	NUM	@card@
.	SENT	.
42	NUM	@card@
ou	KON	ou
03.83	NUM	@card@
.	SENT	.
94.53	NUM	@card@
.	SENT	.
45	NUM	@card@
et	KON	et
au	PRP:det	au
cigt	NOM	cigt
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
86.51	NUM	@card@
.	SENT	.
51	NUM	@card@
