certains	PRO:IND	certain
propriétaires	NOM	propriétaire
ou	KON	ou
locataires	NOM	locataire
n'	ADV	ne
ayant	VER:ppre	avoir
pu	VER:pper	pouvoir
bénéficier	ADJ	bénéficier
de	PRP	de
la	DET:ART	le
remise	NOM	remise
de	PRP	de
bacs	NOM	bac
jaunes	ADJ	jaune
nécessaires	ADJ	nécessaire
pour	PRP	pour
le	DET:ART	le
tri	NOM	tri
sélectif	ADJ	sélectif
sont	VER:pres	être
invités	VER:pper	inviter
à	PRP	à
venir	VER:infi	venir
les	PRO:PER	la|le
récupérer	VER:infi	récupérer
jeudi	NOM	jeudi
9	NUM	@card@
janvier	NOM	janvier
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
au	PRP:det	au
hangar	NOM	hangar
communal	ADJ	communal
,	PUN	,
rue	NOM	rue
de	PRP	de
la	DET:ART	le
fontaine	NOM	fontaine
.	SENT	.
