ce	PRO:DEM	ce
samedi	NOM	samedi
18	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
dimanche	NOM	dimanche
19	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
le	DET:ART	le
groupe	NOM	groupe
«	PUN:cit	«
théâtre	NOM	théâtre
»	PUN:cit	»
de	PRP	de
l'	DET:ART	le
association	NOM	association
de	PRP	de
la	DET:ART	le
combe-saragosse	NOM	combe-saragosse
présente	ADJ	présent
«	PUN:cit	«
un	DET:ART	un
réveillon	NOM	réveillon
à	PRP	à
la	DET:ART	le
montagne	NOM	montagne
»,	ADJ	»,
de	PRP	de
yvon	NOM	yvon
tabouret	NOM	tabouret
,	PUN	,
à	PRP	à
la	DET:ART	le
mjc	NOM	mjc
de	PRP	de
palente	NOM	palente
.	SENT	.
deux	NUM	deux
séances	NOM	séance
de	PRP	de
rattrapage	NOM	rattrapage
sont	VER:pres	être
prévues	VER:pper	prévoir
au	PRP:det	au
petit	ADJ	petit
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
bouloie	NOM	bouloie
,	PUN	,
samedi	NOM	samedi
15	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
dimanche	NOM	dimanche
16	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
