il	PRO:PER	il
était	VER:impf	être
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
hier	NOM	hier
,	PUN	,
lorsque	KON	lorsque
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
volontaires	ADJ	volontaire
de	PRP	de
la	DET:ART	le
caserne	NOM	caserne
de	PRP	de
champenoux	NOM	champenoux
,	PUN	,
bientôt	ADV	bientôt
rejoints	VER:pper	rejoindre
par	PRP	par
leurs	DET:POS	leur
collègues	NOM	collègue
de	PRP	de
tomblaine	NOM	tomblaine
,	PUN	,
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
pour	PRP	pour
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	NOM	cheminée
au	PRP:det	au
domicile	NOM	domicile
de	PRP	de
m.	ABR	m.
didelot	NOM	didelot
,	PUN	,
rue	NOM	rue
saint-barthélemy	NOM	saint-barthélemy
.	SENT	.
