hier	ADV	hier
matin	NOM	matin
,	PUN	,
une	DET:ART	un
habitante	NOM	habitant
de	PRP	de
baume-les-dames	NOM	baume-les-dames
demeurant	VER:ppre	demeurer
cités	NOM	cité
champard	ADJ	champard
(	PUN	(
quartier	NOM	quartier
à	PRP	à
l'	DET:ART	le
hivernage	NOM	hivernage
)	PUN	)
se	PRO:PER	se
rendait	VER:impf	rendre
dans	PRP	dans
son	DET:POS	son
jardin	NOM	jardin
quand	KON	quand
,	PUN	,
surprise	VER:pper	surprendre
par	PRP	par
le	DET:ART	le
verglas	NOM	verglas
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
chuté	VER:pper	chuter
.	SENT	.
les	DET:ART	le
pompiers	NOM	pompier
sont	VER:pres	être
intervenus	VER:pper	intervenir
et	KON	et
l'	PRO:PER	la|le
ont	VER:pres	avoir
transportée	VER:pper	transporter
au	PRP:det	au
chu	VER:pper	choir
de	PRP	de
besançon	NOM	besançon
,	PUN	,
où	PRO:REL	où
une	DET:ART	un
fracture	NOM	fracture
de	PRP	de
la	DET:ART	le
jambe	NOM	jambe
a	VER:pres	avoir
été	VER:pper	être
diagnostiquée	VER:pper	diagnostiquer
.	SENT	.
