mairie	NOM	mairie
:	PUN	:
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
jeudi	NOM	jeudi
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
vendredi	NOM	vendredi
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
samedi	NOM	samedi
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
état	NOM	état
civil	ADJ	civil
),	NOM	),
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
55.17	NUM	@card@
.	SENT	.
20	NUM	@card@
maison	NOM	maison
de	PRP	de
l'	DET:ART	le
enfance	NOM	enfance
:	PUN	:
rue	NOM	rue
de	PRP	de
versailles	NOM	versailles
,	PUN	,
crèche	VER:pres	crécher
enfants	NOM	enfant
de	PRP	de
3	NUM	@card@
mois	NOM	moi|mois
à	PRP	à
3	NUM	@card@
ans	NOM	an
.	SENT	.
halte	NOM	halte
garderie	NOM	garderie
de	PRP	de
3	NUM	@card@
mois	NOM	moi|mois
à	PRP	à
6	NUM	@card@
ans	NOM	an
mardi	NOM	mardi
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
vendredi	NOM	vendredi
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
clsh	NOM	clsh
de	PRP	de
2	NUM	@card@
à	PRP	à
4	NUM	@card@
ans	NOM	an
mercredi	NOM	mercredi
(	PUN	(
journée	NOM	journée
et	KON	et
1	NUM	@card@
/	PUN	/
2	NUM	@card@
journée	NOM	journée
),	ABR	),
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
53.59	NUM	@card@
.	SENT	.
93	NUM	@card@
mercredi-jeunes	NOM	mercredi-jeunes
:	PUN	:
accueil	NOM	accueil
journée	NOM	journée
et	KON	et
1	NUM	@card@
/	PUN	/
2	NUM	@card@
journée	NOM	journée
,	PUN	,
école	NOM	école
chateaubriand	NOM	chateaubriand
rue	NOM	rue
de	PRP	de
brest	NOM	brest
.	SENT	.
permanences	NOM	permanence
lundi	NOM	lundi
et	KON	et
jeudi	NOM	jeudi
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
bureau	NOM	bureau
,	PUN	,
1	NUM	@card@
rue	NOM	rue
gustave-lemaire	ADJ	gustave-lemaire
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
56.66	NUM	@card@
.	SENT	.
83	NUM	@card@
bibliothèque	NOM	bibliothèque
:	PUN	:
maison	NOM	maison
du	PRP:det	du
temps	NOM	temps
libre	ADJ	libre
,	PUN	,
mardi	NOM	mardi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
mercredi	NOM	mercredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
vendredi	NOM	vendredi
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
;	PUN	;
samedi	NOM	samedi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
53.23	NUM	@card@
.	SENT	.
43	NUM	@card@
maison	NOM	maison
du	PRP:det	du
temps	NOM	temps
libre	ADJ	libre
:	PUN	:
rue	NOM	rue
gustave-lemaire	ADJ	gustave-lemaire
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
55.57	NUM	@card@
.	SENT	.
19	NUM	@card@
correspondant	NOM	correspondant
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
:	PUN	:
informations	NOM	information
,	PUN	,
communiqués	VER:pper	communiquer
paul	NOM	paul
gaillard	ADJ	gaillard
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
54.01	NUM	@card@
.	SENT	.
66	NUM	@card@
