ce	PRO:DEM	ce
jeune	ADJ	jeune
homme	NOM	homme
de	PRP	de
28	NUM	@card@
ans	NOM	an
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
perdu	VER:pper	perdre
de	PRP	de
temps	NOM	temps
pour	PRP	pour
porter	VER:infi	porter
préjudice	NOM	préjudice
à	PRP	à
la	DET:ART	le
société	NOM	société
qui	PRO:REL	qui
venait	VER:impf	venir
de	PRP	de
l'	PRO:PER	la|le
embaucher	VER:infi	embaucher
,	PUN	,
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
octobre	NOM	octobre
dernier	ADJ	dernier
.	SENT	.
une	DET:ART	un
entreprise	NOM	entreprise
chargée	VER:pper	charger
d'	PRP	de
installer	VER:infi	installer
et	KON	et
de	PRP	de
gérer	VER:infi	gérer
des	PRP:det	du
distributeurs	NOM	distributeur
de	PRP	de
boissons	NOM	boisson
dans	PRP	dans
de	PRP	de
nombreuses	ADJ	nombreux
sociétés	NOM	société
d'	PRP	de
epinal	NOM	epinal
et	KON	et
ses	DET:POS	son
environs	NOM	environ|environs
.	SENT	.
a	VER:pres	avoir
son	DET:POS	son
actif	NOM	actif
,	PUN	,
près	ADV	près
de	PRP	de
450	NUM	@card@
machines	NOM	machine
sur	PRP	sur
le	DET:ART	le
département	NOM	département
des	PRP:det	du
vosges	ADJ	vosges
.	SENT	.
mission	NOM	mission
du	PRP:det	du
jeune	ADJ	jeune
salarié	NOM	salarié
:	PUN	:
l'	DET:ART	le
entretien	NOM	entretien
des	PRP:det	du
distributeurs	NOM	distributeur
et	KON	et
surtout	ADV	surtout
la	DET:ART	le
récupération	NOM	récupération
des	PRP:det	du
fonds	NOM	fond|fonds
de	PRP	de
caisse	NOM	caisse
.	SENT	.
vile	ADJ	vil
tentation	NOM	tentation
.	SENT	.
en	PRP	en
trois	NUM	trois
mois	NOM	moi|mois
,	PUN	,
l'	DET:ART	le
individu	NOM	individu
aura	VER:futu	avoir
tôt	ADV	tôt
fait	VER:pper	faire
de	PRP	de
détourner	VER:infi	détourner
quelque	PRO:IND	quelque
3.150	NUM	@card@
euros	NOM	euro
.	SENT	.
la	DET:ART	le
gérante	NOM	gérant
de	PRP	de
l'	DET:ART	le
établissement	NOM	établissement
s'	PRO:PER	se
est	VER:pres	être
rapidement	ADV	rapidement
aperçue	VER:pper	apercevoir
que	KON	que
l'	DET:ART	le
argent	NOM	argent
récolté	VER:pper	récolter
dans	PRP	dans
les	DET:ART	le
machines	NOM	machine
était	VER:impf	être
loin	ADV	loin
de	PRP	de
correspondre	VER:infi	correspondre
aux	PRP:det	au
divers	ADJ	divers
produits	NOM	produit
vendus	ADJ	vendu
.	SENT	.
le	DET:ART	le
compte	NOM	compte
n'	ADV	ne
y	PRO:PER	y
était	VER:impf	être
pas	ADV	pas
.	SENT	.
le	DET:ART	le
commissariat	NOM	commissariat
d'	PRP	de
epinal	NOM	epinal
est	VER:pres	être
alerté	VER:pper	alerter
.	SENT	.
après	PRP	après
investigations	NOM	investigation
,	PUN	,
les	DET:ART	le
enquêteurs	NOM	enquêteur
spinaliens	ADJ	spinaliens
se	PRO:PER	se
rendent	VER:pres	rendre
,	PUN	,
lundi	NOM	lundi
après-midi	NOM	après-midi
,	PUN	,
au	PRP:det	au
siège	NOM	siège
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
et	KON	et
attendent	VER:pres	attendre
le	DET:ART	le
retour	NOM	retour
de	PRP	de
tournée	NOM	tournée
de	PRP	de
l'	DET:ART	le
auteur	NOM	auteur
présumé	VER:pper	présumer
des	PRP:det	du
faits	NOM	fait
.	SENT	.
contrôle	NOM	contrôle
du	PRP:det	du
contenu	NOM	contenu
de	PRP	de
la	DET:ART	le
caisse	NOM	caisse
du	PRP:det	du
jour	NOM	jour
.	SENT	.
le	DET:ART	le
voleur	NOM	voleur
est	VER:pres	être
démasqué	VER:pper	démasquer
.	SENT	.
flagrant	ADJ	flagrant
délit	NOM	délit
.	SENT	.
et	KON	et
placement	NOM	placement
en	PRP	en
garde	NOM	garde
à	PRP	à
vue	NOM	vue
.	SENT	.
lors	ADV	lors
de	PRP	de
son	DET:POS	son
audition	NOM	audition
,	PUN	,
le	DET:ART	le
jeune	ADJ	jeune
homme	NOM	homme
a	VER:pres	avoir
reconnu	VER:pper	reconnaître
les	DET:ART	le
faits	NOM	fait
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
remis	VER:pper	remettre
en	PRP	en
liberté	NOM	liberté
hier	ADV	hier
en	PRP	en
fin	NOM	fin
de	PRP	de
matinée	NOM	matinée
et	KON	et
devra	VER:futu	devoir
répondre	VER:infi	répondre
de	PRP	de
ses	DET:POS	son
actes	NOM	acte
,	PUN	,
en	PRP	en
mars	NOM	mars
prochain	ADJ	prochain
,	PUN	,
devant	PRP	devant
le	DET:ART	le
tribunal	NOM	tribunal
correctionnel	ADJ	correctionnel
d'	PRP	de
epinal	NOM	epinal
.	SENT	.
