c'	PRO:DEM	ce
est	VER:pres	être
dans	PRP	dans
ses	DET:POS	son
bras	NOM	bras
que	KON	que
matthieu	NOM	matthieu
,	PUN	,
6	NUM	@card@
ans	NOM	an
,	PUN	,
est	VER:pres	être
heureux	ADJ	heureux
de	PRP	de
présenter	VER:infi	présenter
son	DET:POS	son
petit	ADJ	petit
frère	NOM	frère
nathan	ADJ	nathan
,	PUN	,
né	VER:pper	naître
à	PRP	à
nancy	NOM	nancy
le	DET:ART	le
27	NUM	@card@
décembre	NOM	décembre
.	SENT	.
la	DET:ART	le
maman	NOM	maman
,	PUN	,
nathalie	NOM	nathalie
merlet	NOM	merlet
,	PUN	,
travaille	VER:pres	travailler
au	PRP:det	au
chu	VER:pper	choir
en	PRP	en
poste	NOM	poste
à	PRP	à
lay-saint-christophe	NOM	lay-saint-christophe
mais	KON	mais
va	VER:pres	aller
rejoindre	VER:infi	rejoindre
jeanne-d'arc	NOM	jeanne-d'arc
;	PUN	;
le	DET:ART	le
papa	NOM	papa
travaille	VER:pres	travailler
chez	PRP	chez
citroën	NOM	citroën
à	PRP	à
houdemont	NOM	houdemont
.	SENT	.
la	DET:ART	le
famille	NOM	famille
demeure	VER:pres	demeurer
au	PRP:det	au
67	NUM	@card@
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
abbé	NOM	abbé
guérin	ADJ	guérin
à	PRP	à
grandménil	NOM	grandménil
depuis	PRP	depuis
moins	ADV	moins
d'	PRP	de
un	DET:ART	un
an	NOM	an
venant	VER:ppre	venir
de	PRP	de
champigneulles	NOM	champigneulles
.	SENT	.
matthieu	NOM	matthieu
est	VER:pres	être
en	PRP	en
extase	NOM	extase
devant	PRP	devant
son	DET:POS	son
frère	NOM	frère
,	PUN	,
beau	ADJ	beau
bébé	NOM	bébé
de	PRP	de
3,410	NUM	@card@
kg	ABR	kg
et	KON	et
de	PRP	de
51	NUM	@card@
cm	NOM	cm
,	PUN	,
arrivé	VER:pper	arriver
comme	ADV	comme
cadeau	NOM	cadeau
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
.	SENT	.
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
nathan	NOM	nathan
et	KON	et
félicitations	NOM	félicitation
aux	PRP:det	au
parents	NOM	parent|parents
.	SENT	.
bienvenue	VER:pper	bienvenir
en	PRP	en
terre	NOM	terre
scrofulienne	ADJ	scrofulienne
.	SENT	.
