m.	ABR	m.
gabriel	ADJ	gabriel
may	NOM	may
18	NUM	@card@
route	NOM	route
de	PRP	de
larnod	NOM	larnod
25320	NUM	@card@
busy	NOM	busy
.	SENT	.
la	DET:ART	le
pologne	NOM	pologne
vient	VER:pres	venir
de	PRP	de
frapper	VER:infi	frapper
à	PRP	à
la	DET:ART	le
porte	NOM	porte
de	PRP	de
l'	DET:ART	le
europe	NOM	europe
et	KON	et
cette	PRO:DEM	ce
dernière	NOM	dernier
,	PUN	,
dans	PRP	dans
sa	DET:POS	son
frénésie	NOM	frénésie
quelque	PRO:IND	quelque
peu	ADV	peu
incontrôlée	ADJ	incontrôlé
d'	PRP	de
extension	NOM	extension
,	PUN	,
va	VER:pres	aller
l'	PRO:PER	la|le
accepter	VER:infi	accepter
,	PUN	,
mais	KON	mais
à	PRP	à
quel	PRO:REL	quel
prix	NOM	prix
.	SENT	.
cette	PRO:DEM	ce
nation	NOM	nation
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
vrai	ADJ	vrai
trop	ADV	trop
souvent	ADV	souvent
malmenée	VER:pper	malmener
au	PRP:det	au
cours	NOM	cour|cours
des	PRP:det	du
siècles	NOM	siècle
,	PUN	,
a	VER:pres	avoir
une	DET:ART	un
population	NOM	population
encore	ADV	encore
fortement	ADV	fortement
rurale	ADJ	rural
,	PUN	,
à	PRP	à
vocation	NOM	vocation
essentiellement	ADV	essentiellement
agricole	ADJ	agricole
.	SENT	.
certaines	PRO:IND	certain
exploitations	NOM	exploitation
dépassent	VER:pres	dépasser
à	PRP	à
peine	NOM	peine
cinq	NUM	cinq
hectares	NOM	hectare
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
dire	VER:infi	dire
combien	ADV	combien
l'	DET:ART	le
effort	NOM	effort
de	PRP	de
restructuration	NOM	restructuration
et	KON	et
de	PRP	de
modernisation	NOM	modernisation
sera	VER:futu	être
ardu	ADJ	ardu
dans	PRP	dans
ce	PRO:DEM	ce
secteur	NOM	secteur
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
également	ADV	également
convenir	VER:infi	convenir
que	KON	que
,	PUN	,
sous	PRP	sous
le	DET:ART	le
régime	NOM	régime
dit	VER:pres	dire
communiste	ADJ	communiste
,	PUN	,
les	DET:ART	le
agriculteurs	NOM	agriculteur
polonais	ADJ	polonais
étaient	VER:impf	être
les	DET:ART	le
moins	ADV	moins
malmenés	VER:pper	malmener
par	PRP	par
rapport	NOM	rapport
au	PRP:det	au
reste	NOM	reste
de	PRP	de
la	DET:ART	le
population	NOM	population
.	SENT	.
les	DET:ART	le
dirigeants	NOM	dirigeant
polonais	ADJ	polonais
ont	VER:pres	avoir
habilement	ADV	habilement
négocié	VER:pper	négocier
leur	DET:POS	leur
future	ADJ	futur
adhésion	NOM	adhésion
,	PUN	,
obtenant	VER:ppre	obtenir
des	PRP:det	du
puissances	NOM	puissance
occidentales	ADJ	occidental
,	PUN	,
et	KON	et
en	PRP	en
particulier	NOM	particulier
de	PRP	de
l'	DET:ART	le
allemagne	NOM	allemagne
et	KON	et
de	PRP	de
la	DET:ART	le
france	NOM	france
,	PUN	,
des	PRP:det	du
garanties	NOM	garantie
de	PRP	de
compensations	NOM	compensation
financières	ADJ	financier
très	ADV	très
intéressantes	ADJ	intéressant
pour	PRP	pour
leurs	DET:POS	leur
agriculteurs	NOM	agriculteur
.	SENT	.
en	PRP	en
retour	NOM	retour
,	PUN	,
l'	DET:ART	le
europe	NOM	europe
aurait	VER:cond	avoir
pu	VER:pper	pouvoir
espérer	VER:infi	espérer
des	PRP:det	du
mêmes	ADJ	même
polonais	NOM	polonais
non	ADV	non
pas	ADV	pas
une	DET:ART	un
reconnaissance	NOM	reconnaissance
,	PUN	,
mais	KON	mais
au	PRP:det	au
moins	ADV	moins
une	DET:ART	un
attitude	NOM	attitude
conforme	ADJ	conforme
à	PRP	à
leur	DET:POS	leur
statut	NOM	statut
sollicité	VER:pper	solliciter
de	PRP	de
futurs	ADJ	futur
européens	NOM	européen
.	SENT	.
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
cela	PRO:DEM	cela
,	PUN	,
et	KON	et
quelques	PRO:IND	quelque
semaines	NOM	semaine
seulement	ADV	seulement
après	PRP	après
avoir	VER:infi	avoir
obtenu	VER:pper	obtenir
satisfaction	NOM	satisfaction
,	PUN	,
le	DET:ART	le
gouvernement	NOM	gouvernement
polonais	ADJ	polonais
vient	VER:pres	venir
de	PRP	de
décider	VER:infi	décider
de	PRP	de
l'	DET:ART	le
achat	NOM	achat
d'	PRP	de
avions	NOM	avion
américains	ADJ	américain
,	PUN	,
les	PRO:PER	la|le
préférant	VER:ppre	préférer
aux	PRP:det	au
appareils	NOM	appareil
européens	ADJ	européen
.	SENT	.
il	PRO:PER	il
n'	ADV	ne
entre	PRP	entre
pas	ADV	pas
dans	PRP	dans
mes	DET:POS	mon
propos	NOM	propos
de	PRP	de
me	PRO:PER	me
faire	VER:infi	faire
l'	DET:ART	le
avocat	NOM	avocat
des	PRP:det	du
avionneurs	NOM	avionneur
européens	ADJ	européen
mais	KON	mais
s'	PRO:PER	se
il	PRO:PER	il
s'	PRO:PER	se
était	VER:impf	être
agi	VER:pper	agir
de	PRP	de
tracteurs	NOM	tracteur
ou	KON	ou
d'	PRP	de
automobiles	NOM	automobile
par	PRP	par
exemple	NOM	exemple
,	PUN	,
la	DET:ART	le
décision	NOM	décision
aurait	VER:cond	avoir
été	VER:pper	être
identique	ADJ	identique
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
quand	ADV	quand
même	ADV	même
fort	ADJ	fort
de	PRP	de
constater	VER:infi	constater
,	PUN	,
indirectement	ADV	indirectement
tout	ADV	tout
au	PRP:det	au
moins	ADV	moins
,	PUN	,
que	KON	que
l'	DET:ART	le
argent	NOM	argent
européen	ADJ	européen
si	KON	si
généreusement	ADV	généreusement
distribué	VER:pper	distribuer
va	VER:pres	aller
servir	VER:infi	servir
à	PRP	à
financer	VER:infi	financer
un	DET:ART	un
pays	NOM	pays
dominateur	ADJ	dominateur
dont	PRO:REL	dont
les	DET:ART	le
intérêts	NOM	intérêt
,	PUN	,
dans	PRP	dans
le	DET:ART	le
domaine	NOM	domaine
agricole	ADJ	agricole
notamment	ADV	notamment
,	PUN	,
sont	VER:pres	être
nettement	ADV	nettement
opposés	VER:pper	opposer
à	PRP	à
ceux	PRO:DEM	celui
des	PRP:det	du
agriculteurs	NOM	agriculteur
européens	ADJ	européen
.	SENT	.
décidément	ADV	décidément
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
des	PRP:det	du
choses	NOM	chose
que	KON	que
l'	DET:ART	le
européen	NOM	européen
sceptique	ADJ	sceptique
a	VER:pres	avoir
bien	ADV	bien
du	PRP:det	du
mal	NOM	mal
à	PRP	à
comprendre	VER:infi	comprendre
.	SENT	.
