hier	ADV	hier
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
daniel	ADJ	daniel
goudot	NOM	goudot
,	PUN	,
adjoint	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
assisté	VER:pper	assister
de	PRP	de
brigitte	NOM	brigitte
carpentier	ADJ	carpentier
,	PUN	,
a	VER:pres	avoir
reçu	VER:pper	recevoir
le	DET:ART	le
consentement	NOM	consentement
mutuel	ADJ	mutuel
de	PRP	de
patrick	NOM	patrick
colin	NOM	colin
,	PUN	,
vendeur	ADJ	vendeur
,	PUN	,
et	KON	et
de	PRP	de
chantal	NOM	chantal
muel	ADJ	muel
,	PUN	,
vendeuse	ADJ	vendeur
.	SENT	.
les	DET:ART	le
époux	NOM	époux
sont	VER:pres	être
domiciliés	VER:pper	domicilier
immeuble	ADJ	immeuble
normandie	NOM	normandie
,	PUN	,
les	DET:ART	le
provinces	NOM	province
à	PRP	à
laxou	NOM	laxou
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
