il	PRO:PER	il
était	VER:impf	être
12	NUM	@card@
h	ABR	heure
55	NUM	@card@
hier	NOM	hier
,	PUN	,
lorsque	KON	lorsque
deux	NUM	deux
voitures	NOM	voiture
sont	VER:pres	être
entrées	VER:pper	entrer
en	PRP	en
collision	NOM	collision
à	PRP	à
thise	NOM	thise
,	PUN	,
rue	NOM	rue
des	PRP:det	du
marronniers	NOM	marronnier
.	SENT	.
légèrement	ADV	légèrement
blessé	VER:pper	blesser
,	PUN	,
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
protagonistes	NOM	protagoniste
a	VER:pres	avoir
été	VER:pper	être
transporté	VER:pper	transporter
au	PRP:det	au
centre	NOM	centre
hospitalier	ADJ	hospitalier
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
.	SENT	.
