qui	PRO	qui
a	VER:pres	avoir
perdu	VER:pper	perdre
,	PUN	,
à	PRP	à
besançon	NOM	besançon
,	PUN	,
petite	ADJ	petit
spizt	NOM	spizt
loulou	NOM	loulou
naine	ADJ	nain
,	PUN	,
de	PRP	de
couleur	NOM	couleur
fauve	ADJ	fauve
,	PUN	,
environ	PRP	environ
8	NUM	@card@
-	PUN	-
9	NUM	@card@
ans	NOM	an
,	PUN	,
tatouée	VER:pper	tatouer
avec	PRP	avec
un	DET:ART	un
collier	NOM	collier
rouge	ADJ	rouge
.	SENT	.
pour	PRP	pour
tous	PRO:IND	tout
renseignements	NOM	renseignement
,	PUN	,
s'	PRO:PER	se
adresser	VER:infi	adresser
à	PRP	à
la	DET:ART	le
spa	NOM	spa
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
80.06	NUM	@card@
.	SENT	.
89	NUM	@card@
